PharmGKB Accession Id;Drug;ATC Identifiers;Type;Clin_Var_Pathway
PA164749342;CINNARIZINE;N07CA02;Drug;0:0:0
PA164748034;CINOLAZEPAM;N05CD13;Drug;0:0:0
PA449007;CINOXACIN;J01MB06;Drug;0:0:0
PA449011;CISAPRIDE;A03FA02;Drug;0:4:0
PA164744925;CISATRACURIUM BESYLATE;;Drug;0:0:0
PA449015;CITALOPRAM;N06AB04;Drug;63:216:2
PA166344382;CITICOLINE;N06BX06;Drug, Biological Intermediate;0:0:0
PA449021;CITRIC ACID;A09AB04;Drug;0:0:0
PA449028;CLARITHROMYCIN;J01FA09;Drug;0:10:1
PA166199781;CLAZAKIZUMAB;;Drug;0:0:0
PA164776997;CLEMASTINE;D04AA14, R06AA04;Drug;0:0:0
PA164745640;CLENBUTEROL;R03AC14, R03CC13;Drug;0:0:0
PA166198261;CLEVUDINE;;Drug;0:0:0
PA164781044;CLIDINIUM;;Drug;0:0:0
PA10888;CLOBAZAM;N05BA09;Drug;4:16:1
PA164744375;CLOBETASOL;;Drug;0:0:0
PA164744013;CLOCORTOLONE;D07AB21;Drug;0:0:0
PA164754863;CLOFARABINE;L01BB06;Drug;0:0:0
PA164748759;CLOFAZIMINE;J04BA01;Drug;0:0:0
PA449045;CLOFIBRATE;C10AB01;Drug;0:0:0
PA449046;CLOMIFENE;G03GB02;Drug;0:0:0
PA449048;CLOMIPRAMINE;N06AA04;Drug;8:60:1
PA164771235;CLOMOCYCLINE;J01AA11;Drug;0:0:0
PA449050;CLONAZEPAM;N03AE01;Drug;0:1:1
PA449053;CLOPIDOGREL;B01AC04;Prodrug;51:919:2
PA164749297;CLORAZEPATE;;Drug;0:0:0
PA164752437;CLOTIAZEPAM;N05BA21;Drug;0:0:0
PA449057;CLOTRIMAZOLE;A01AB18, D01AC01, G01AF02;Drug;0:0:0
PA449059;CLOXACILLIN;J01CF02;Drug;0:0:0
PA166182867;CMF;;Drug;0:0:0
PA164744952;COAGULATION FACTOR IX;B02BD04;Drug;0:0:0
PA164748389;COAGULATION FACTOR VIIA;;Drug;0:0:0
PA166165092;COBICISTAT;V03AX03;Drug;0:0:0
PA449088;CODEINE;N02AA59, N02AA79, R05DA04;Prodrug;12:89:1
PA164712613;COD-LIVER OIL OINTMENTS;D03AA;Drug Class;0:0:0
PA449092;COLCHICINE;M04AC01;Drug;0:2:0
PA164712614;COLCHICINE DERIVATIVES;L01CC;Drug Class;0:0:0
PA449095;COLESEVELAM;C10AC04;Drug;0:0:0
PA449096;COLESTIPOL;C10AC02;Drug;0:0:0
PA164749509;COLISTIMETHATE;;Prodrug;0:0:0
PA164760862;COLISTIN;A07AA10, J01XB01;Drug;0:0:0
PA449107;COLLAGENASE;D03BA02, M09AB02;Drug;0:0:0
PA10420;COLONY STIMULATING FACTORS;L03AA;Drug Class;0:0:0
PA164712615;COLOURING AGENTS;S01JA;Drug Class;0:0:0
PA166230961;COMBINATION NICOTINE REPLACEMENT THERAPY;;Drug;0:1:0
PA164712618;COMBINATIONS AND COMPLEXES OF ALUMINIUM, CALCIUM AND MAGNESIUM COMPOUNDS;A02AD;Drug Class;0:0:0
PA164712619;COMBINATIONS FOR ERADICATION OF HELICOBACTER PYLORI;A02BD;Drug Class;0:0:0
PA164712620;COMBINATIONS OF ADRENERGICS;R03AH;Drug Class;0:0:0
PA164712616;COMBINATIONS OF ANTIBACTERIALS;J01R, J01RA;Drug Class;0:0:0
PA164712622;COMBINATIONS OF ANTIHISTAMINES;R06AK;Drug Class;0:0:0
PA164712617;COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02;C02N;Drug Class;0:0:0
PA164712623;COMBINATIONS OF ANTINEOPLASTIC AGENTS;L01XY;Drug Class;0:0:0
PA164712624;COMBINATIONS OF DRUGS FOR TREATMENT OF TUBERCULOSIS;J04AM;Drug Class;0:11:0
PA164712625;COMBINATIONS OF ORAL BLOOD GLUCOSE LOWERING DRUGS;A10BD;Drug Class;0:0:0
PA164712626;COMBINATIONS OF PENICILLINS, INCL. BETA-LACTAMASE INHIBITORS;J01CR;Drug Class;0:0:0
PA10492;COMBINATIONS OF SULFONAMIDES AND TRIMETHOPRIM, INCL. DERIVATIVES;J01EE;Drug Class;9:44:0
PA164712627;COMBINATIONS OF VITAMINS;A11JA;Drug Class;0:0:0
PA164742939;CONIVAPTAN;C03XA02;Drug;0:0:0
PA164712628;CONTACT LAXATIVES;A06AB;Drug Class;0:0:0
PA164712629;CONTRACEPTIVES FOR TOPICAL USE;G02B;Drug Class;0:0:0
PA164712630;CONTRAST MEDIA;V08;Drug Class;0:0:0
PA449114;COPPER;;Drug;0:0:0
PA449119;COPPER SULFATE;V03AB20;Drug;0:0:0
PA449122;CORN OIL;;Drug;0:0:0
PA164712631;CORTICOSTEROID DERIVATIVES;N02CB;Drug Class;0:0:0
PA164712634;CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION;S01CA, S02C, S02CA, S03C, S03CA;Drug Class;0:0:0
PA164712641;CORTICOSTEROIDS AND MYDRIATICS IN COMBINATION;S01BB;Drug Class;0:0:0
PA164712664;CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION;S01CB;Drug Class;18:74:0
PA164712647;CORTICOSTEROIDS, COMBINATIONS FOR TREATMENT OF ACNE;D10AA;Drug Class;15:53:0
PA164712643;CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS;D07C;Drug Class;0:0:0
PA164712644;CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS;D07B;Drug Class;0:0:0
PA164712645;CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS;D07;Drug Class;27:107:0
PA164712636;CORTICOSTEROIDS FOR SYSTEMIC USE;H02;Drug Class;35:145:0
PA164712637;CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS;H02B, H02BX;Drug Class;0:0:0
PA164712649;CORTICOSTEROIDS, MODERATELY POTENT, COMBINATIONS WITH ANTIBIOTICS;D07CB;Drug Class;0:0:0
PA164712650;CORTICOSTEROIDS, MODERATELY POTENT, COMBINATIONS WITH ANTISEPTICS;D07BB;Drug Class;0:0:0
PA164712648;CORTICOSTEROIDS, MODERATELY POTENT (GROUP II);D07AB;Drug Class;17:52:0
PA164712651;CORTICOSTEROIDS, MODERATELY POTENT, OTHER COMBINATIONS;D07XB;Drug Class;17:52:0
PA164712646;CORTICOSTEROIDS, OTHER COMBINATIONS;D07X;Drug Class;21:76:0
PA164712653;CORTICOSTEROIDS, POTENT, COMBINATIONS WITH ANTIBIOTICS;D07CC;Drug Class;0:0:0
PA164712654;CORTICOSTEROIDS, POTENT, COMBINATIONS WITH ANTISEPTICS;D07BC;Drug Class;0:0:0
PA164712652;CORTICOSTEROIDS, POTENT (GROUP III);D07AC;Drug Class;5:28:0
PA164712655;CORTICOSTEROIDS, POTENT, OTHER COMBINATIONS;D07XC;Drug Class;0:0:0
PA164712657;CORTICOSTEROIDS, VERY POTENT, COMBINATIONS WITH ANTIBIOTICS;D07CD;Drug Class;0:0:0
PA164712658;CORTICOSTEROIDS, VERY POTENT, COMBINATIONS WITH ANTISEPTICS;D07BD;Drug Class;0:0:0
PA164712656;CORTICOSTEROIDS, VERY POTENT (GROUP IV);D07AD;Drug Class;0:0:0
PA164712659;CORTICOSTEROIDS, VERY POTENT, OTHER COMBINATIONS;D07XD;Drug Class;0:0:0
PA164712661;CORTICOSTEROIDS, WEAK, COMBINATIONS WITH ANTIBIOTICS;D07CA;Drug Class;0:0:0
PA164712662;CORTICOSTEROIDS, WEAK, COMBINATIONS WITH ANTISEPTICS;D07BA;Drug Class;0:0:0
PA164712660;CORTICOSTEROIDS, WEAK (GROUP I);D07AA;Drug Class;5:27:0
PA164712663;CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS;D07XA;Drug Class;4:24:0
PA449129;CORTICOTROPIN;H01AA01;Drug;0:0:0
PA449130;CORTISONE ACETATE;H02AB10, S01BA03;Drug;0:1:0
PA166400162;COSIBELIMAB;;Drug;0:0:0
PA164712665;COSMETICS;V07AT;Drug Class;0:0:0
PA164749052;COSYNTROPIN;H01AA02;Drug;0:0:0
PA164712666;COUGH AND COLD PREPARATIONS;R05;Drug Class;33:222:0
PA164712667;COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS;R05F;Drug Class;0:0:0
PA164712668;COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS;R05D;Drug Class;32:216:0
PA164712669;COXIBS;M01AH;Drug Class;7:51:0
PA165107062;CP-800,569;;Drug;0:0:0
PA165111677;CREMOPHOR EL;;Drug;0:0:0
PA166189801;CRIZANLIZUMAB-TMCA;B06AX01;Drug;0:0:0
PA449138;CROMOGLICATE;A07EB01, D11AH03, R01AC01, R03BC01, S01GX01;Drug;0:0:0
PA164745460;CROTAMITON;;Drug;0:0:0
PA164749510;CRYPTENAMINE;;Drug;0:0:0
PA164712670;CURARE ALKALOIDS;M03AA;Drug Class;0:0:0
PA164743456;CYCLACILLIN;;Drug;0:0:0
PA164748026;CYCLANDELATE;C04AX01;Drug;0:0:0
PA164712671;CYCLIC AMINES;J05AC;Drug Class;0:0:0
PA166305882;CYCLIN-DEPENDENT KINASE (CDK) INHIBITORS;L01EF;Drug Class;0:11:0
PA164742937;CYCLIZINE;R06AE03;Drug;0:0:0
PA449160;CYCLOBENZAPRINE;M03BX08;Drug;0:0:0
PA165107357;CYCLOGUANIL;;Drug, Metabolite;0:3:0
PA164743019;CYCLOPENTOLATE;S01FA04;Drug;0:0:0
PA164764600;CYCLOSERINE;J04AB01;Drug;0:0:0
PA449168;CYCLOTHIAZIDE;C03AA09;Drug;0:0:0
PA164749387;CYCRIMINE;;Drug;0:0:0
PA164749366;CYPROHEPTADINE;R06AX02;Drug;0:0:0
PA10049;CYPROTERONE;;Drug;0:0:0
PA164712672;CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES;L01D;Drug Class;169:639:0
PA165958369;DABIGATRAN ETEXILATE;B01AE07;Prodrug;0:0:1
PA164764446;DACLIZUMAB;L04AC01;Drug;0:0:0
PA151917012;DACTINOMYCIN;L01DA01;Drug;0:12:0
PA166210781;DACTOLISIB;;Drug;0:0:0
PA166209982;DALBAVANCIN;;Drug;0:0:0
PA164746234;DALFOPRISTIN;;Drug;0:0:0
PA166346321;DALPICICLIB;;Drug;0:0:0
PA165958404;DALTEPARIN;;Drug;0:0:0
PA166248921;DANAPAROID;B01AB09;Drug;0:0:0
PA164749056;DANAZOL;G03XA01;Drug;0:0:0
PA166119201;DANIQUIDONE;;Drug;0:0:0
PA449208;DANTROLENE;M03CA01;Drug;0:0:0
PA164712673;DANTROLENE AND DERIVATIVES;M03CA;Drug Class;0:0:0
PA166416242;DANUGLIPRON;;Drug;0:0:0
PA166104278;DAPAGLIFLOZIN;;Drug;0:0:0
PA164749109;DAPIPRAZOLE;S01EX02;Drug;0:0:0
PA166280581;DAPRODUSTAT;;Drug;0:0:0
PA449211;DAPSONE;D10AX05, J04BA02;Drug;8:24:0
PA165884699;DARAPLADIB;;Drug;0:7:0
PA166334883;DARATUMUMAB;L01FC01;Drug;0:0:0
PA164743138;DARBEPOETIN ALFA;B03XA02;Drug;0:0:0
PA164774901;DARIFENACIN;G04BD10;Drug;0:0:0
PA163522472;DARUNAVIR;J05AE10;Drug;0:2:0
PA166182623;DARUNAVIR / RITONAVIR;J05AR26;Drug;0:0:0
PA166163411;DASABUVIR;J05AP09;Drug;0:0:0
PA166160002;DASABUVIR / OMBITASVIR / PARITAPREVIR / RITONAVIR;J05AP52;Drug;0:0:0
PA166396081;DATOPOTAMAB DERUXTECAN;;Drug;0:0:0
PA449212;DAUNORUBICIN;L01DB02;Drug;16:122:0
PA166122486;DB-289;;Drug;0:0:0
PA452616;DEBRISOQUINE;C02CC04;Drug;2:39:0
PA164747980;DECAMETHONIUM;;Drug;0:0:0
PA164749631;DECITABINE;L01BC08;Drug;0:0:0
PA164712674;DECONGESTANTS AND ANTIALLERGICS;S01G;Drug Class;2:7:0
PA164712675;DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01A;Drug Class;31:113:0
PA164746490;DEFEROXAMINE;V03AC01;Drug;0:0:0
PA164749105;DEFIBROTIDE;B01AX01;Drug;0:0:0
PA165958373;DEGARELIX;L02BX02;Drug;0:0:0
PA166412461;DELAFLOXACIN;J01MA23;Drug;0:0:0
PA166324861;DELAMANID;J04AK06;Drug;0:0:0
PA449223;DELAVIRDINE;J05AG02;Drug;0:0:0
PA166363781;DELPAZOLID;;Drug;0:0:0
PA164745610;DEMECARIUM BROMIDE;S01EB04;Drug;0:0:0
PA164745513;DEMECLOCYCLINE;D06AA01, J01AA01;Drug;0:0:0
PA164750594;DENILEUKIN DIFTITOX;L01XX29;Drug;0:0:0
PA166048634;DENOSUMAB;;Drug;0:0:0
PA166328041;DEOXYSCHISANDRIN;;Drug;0:0:0
PA164712676;DERMATOLOGICALS;D;Drug Class;229:1632:0
PA166354901;DERSIMELAGON;;Drug;0:0:0
PA164742966;DESERPIDINE;C02AA05;Drug;0:0:0
PA164749136;DESFLURANE;N01AB07;Drug;47:18:1
PA449233;DESIPRAMINE;N06AA01;Drug, Metabolite;5:27:2
PA164747478;DESLANOSIDE;C01AA07;Drug;0:0:0
PA165817936;DESMETHYLASTEMIZOLE;;Drug;0:0:0
PA134687941;DESMETHYLCITALOPRAM;;Drug;0:7:0
PA449238;DESOGESTREL;G03AC09;Drug;0:0:0
PA164776996;DESONIDE;D07AB08, S01BA11;Drug;0:0:0
PA164746011;DESOXIMETASONE;D07AC03, D07XC02;Drug;0:0:0
PA449245;DESOXYCORTICOSTERONE PIVALATE;;Drug;0:0:0
PA164712677;DETOXIFYING AGENTS FOR ANTINEOPLASTIC TREATMENT;V03AF;Drug Class;2:28:0
PA166400021;DEURUXOLITINIB;;Drug;0:0:0
PA166169881;DEUTETRABENAZINE;N07XX16;Drug;0:0:0
PA166362501;DEUTIVACAFTOR;;Drug;0:0:0
PA164746251;DEXBROMPHENIRAMINE;R06AB06;Drug;0:0:0
PA164747936;DEXFENFLURAMINE;A08AA04;Drug;0:0:0
PA166049174;DEXIBUPROFEN;;Drug;0:0:0
PA166049175;DEXKETOPROFEN;;Drug;0:0:0
PA166110257;DEXLANSOPRAZOLE;A02BC06;Drug;1:4:1
PA10054;DEXMETHYLPHENIDATE;N06BA11;Drug;0:0:0
PA449261;DEXTRAN;;Drug;0:0:0
PA449273;DEXTROMETHORPHAN;R05DA09;Drug;7:105:1
PA166278341;DEXTROMETHORPHAN HYDROBROMIDE / BUPROPION HYDROCHLORIDE;N06AX62, N07XX59;Drug;0:0:0
PA166175998;DEXTROMETHORPHAN / QUINIDINE;C01BA51, N07XX59;Drug;0:0:0
PA164752444;DEXTROTHYROXINE;C10AX01;Drug;0:0:0
PA164746059;DEZOCINE;N02AX03;Drug;0:0:0
PA166348404;DIACETYL DAPSONE;;Prodrug;0:0:0
PA164712678;DIAGNOSTIC AGENTS;S01J, V04;Drug Class;5:28:0
PA164712680;DIAGNOSTIC RADIOPHARMACEUTICALS;V09;Drug Class;0:0:0
PA164712681;DIAMINOPYRIMIDINES;P01BD;Drug Class;2:7:0
PA449281;DIATRIZOATE;V08AA01;Drug;0:0:0
PA164712682;DIAZEPINES, OXAZEPINES AND THIAZEPINES;N05AH;Drug Class;142:594:0
PA449285;DIAZOXIDE;C02DA01, V03AH01;Drug;0:0:0
PA166292901;DIBEKACIN;J01GB09;Drug;0:0:0
PA164712683;DIBENZO-BICYCLO-OCTADIENE DERIVATIVES;N05BD;Drug Class;0:0:0
PA449286;DIBUCAINE;C05AD04, D04AB02, N01BB06, S01HA06, S02DA04;Drug;0:0:0
PA164712684;DICHLOROACETAMIDE DERIVATIVES;P01AC;Drug Class;0:0:0
PA165947835;DICHLOROACETIC ACID;;Drug, Metabolite;0:6:1
PA164745512;DICHLORPHENAMIDE;S01EC02;Drug;0:0:0
PA449298;DICUMAROL;B01AA01;Drug;0:0:0
PA164744928;DICYCLOMINE;A03AA07;Drug;0:0:0
PA164745534;DIENESTROL;G03CB01, G03CC02;Drug;0:0:0
PA164712685;DIET FORMULATIONS FOR TREATMENT OF OBESITY;V06A;Drug Class;0:0:0
PA164748883;DIETHYLCARBAMAZINE;P02CB02;Drug;0:0:0
PA164778098;DIETHYLPROPION;A08AA03;Drug;0:0:0
PA449307;DIETHYLSTILBESTROL;G03CB02, G03CC05, L02AA01;Drug;0:0:0
PA134653756;DIFLOMOTECAN;;Drug;0:1:0
PA164749408;DIFLORASONE;D07AC10;Drug;0:0:0
PA449313;DIFLUNISAL;N02BA11;Drug;0:0:0
PA165958405;DIFLUPREDNATE;D07AC19;Drug;0:0:0
PA164712687;DIGESTIVES, INCL. ENZYMES;A09, A09A;Drug Class;0:0:0
PA452244;DIGITALIS GLYCOSIDES;C01AA;Drug Class;7:39:0
PA449316;DIGITOXIN;C01AA04;Drug;0:0:0
PA164769030;DIGOXIN IMMUNE FAB;;Drug;0:0:0
PA164752819;DIHYDROERGOTOXINE;;Drug;0:0:0
PA166301762;DIHYDROQUINIDINE;;Drug, Metabolite;0:0:0
PA164744345;DIHYDROTACHYSTEROL;A11CC02;Drug;0:0:0
PA164746763;DIHYDROXYALUMINIUM;;Drug;0:0:0
PA152530737;DILAZEP;C01DX10;Drug;0:0:0
PA165958413;DILOXANIDE;P01AC01;Drug;0:0:0
PA449338;DIMENHYDRINATE;;Drug;0:0:0
PA165958420;DIMETHINDENE;D04AA13, R06AB03;Drug;0:0:0
PA449342;DIMETHYL SULFOXIDE;G04BX13, M02AX03;Drug;0:0:0
PA164781385;DINOPROST TROMETHAMINE;;Drug;0:0:0
PA166160060;DINUTUXIMAB;L01FX06;Drug;0:0:0
PA164748388;DIPHEMANIL METHYLSULFATE;;Drug;0:0:0
PA449349;DIPHENHYDRAMINE;D04AA32, R06AA02;Drug;0:7:0
PA164746037;DIPHENIDOL;;Drug;0:0:0
PA164746539;DIPHENOXYLATE;A07DA01;Drug;0:0:0
PA164712690;DIPHENYLBUTYLPIPERIDINE DERIVATIVES;N05AG;Drug Class;0:4:0
PA164712691;DIPHENYLMETHANE DERIVATIVES;N05BB;Drug Class;0:1:0
PA164712692;DIPHENYLPROPYLAMINE DERIVATIVES;N02AC;Drug Class;0:6:0
PA164746377;DIPHENYLPYRALINE;R06AA07;Drug;0:0:0
PA164712693;DIPHTHERIA VACCINES;J07AF;Drug Class;0:0:0
PA449364;DIPIVEFRIN;;Drug;0:0:0
PA449367;DIPYRIDAMOLE;B01AC07;Drug;0:0:0
PA166342382;DIRECT FACTOR XA INHIBITORS;B01AF;Drug Class;7:70:0
PA164712694;DIRECT THROMBIN INHIBITORS;B01AE;Drug Class;0:0:0
PA449368;DIRITHROMYCIN;J01FA13;Drug;0:0:0
PA166335022;DIROXIMEL FUMARATE;L04AX09;Prodrug;0:0:0
PA164712695;DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION;C03E;Drug Class;50:120:0
PA166110254;DIVICINE;;Drug;0:0:0
PA164749211;DOCOSANOL;D06BB11;Drug;0:0:0
PA451988;DODECANE-TRIMETHYLAMINE;;Drug;0:0:0
PA449389;DOFETILIDE;C01BD04;Drug;0:6:0
PA166184505;DOLUTEGRAVIR / ABACAVIR / LAMIVUDINE;J05AR13;Drug;0:0:0
PA134711056;DOMPERIDONE;A03FA03;Drug;0:0:0
PA164712696;DOPA AND DOPA DERIVATIVES;N04BA;Drug Class;6:24:0
PA449396;DOPAMINE;C01CA04;Drug, Biological Intermediate;0:0:3
PA164712698;DOPAMINERGIC AGENTS;N04B;Drug Class;12:44:0
PA166399661;DORDAVIPRONE;;Drug;0:0:0
PA10318;DORNASE ALFA;;Drug;0:0:0
PA164748765;DORZOLAMIDE;S01EC03;Drug;0:0:0
PA166131608;DOVITINIB;;Drug;0:0:0
PA164744927;DOXACURIUM;M03AC07;Drug;0:0:0
PA164784026;DOXAPRAM;R07AB01;Drug;0:0:0
PA449407;DOXAZOSIN;C02CA04;Drug;0:5:0
PA449409;DOXEPIN;N06AA12;Drug;3:23:1
PA449412;DOXORUBICIN;L01DB01;Drug;77:294:3
PA449415;DOXYCYCLINE;A01AB22, J01AA02;Drug;0:1:0
PA449419;DOXYLAMINE;R06AA09;Drug;0:0:0
PA165291460;DPCPX;;Drug;0:0:0
PA164760855;DROMOSTANOLONE;;Drug;0:0:0
PA449421;DRONABINOL;A04AD10;Drug;0:1:0
PA153619853;DRONEDARONE;C01BD07;Drug;0:2:0
PA449422;DROPERIDOL;N05AD08;Drug;0:0:0
PA164749409;DROSPIRENONE;;Drug;0:0:0
PA165290928;DROSPIRENONE / ETHINYL ESTRADIOL;G03AA12;Drug;0:0:0
PA165958398;DROTAVERINE;A03AD02;Drug;0:0:0
PA131548935;DROTRECOGIN ALFA;;Drug;0:1:0
PA166049182;DROXICAM;;Drug;0:0:0
PA164748386;DROXIDOPA;;Drug;0:0:0
PA164712712;DRUGS ACTING ON SEROTONIN RECEPTORS;A03AE;Drug Class;0:0:0
PA164712699;DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION;M05B;Drug Class;10:37:0
PA164712700;DRUGS FOR ACID RELATED DISORDERS;A02;Drug Class;19:444:0
PA164712701;DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION;A05C;Drug Class;0:0:0
PA164712713;DRUGS FOR EMBOLISATION;V03AM;Drug Class;0:0:0
PA164712702;DRUGS FOR FUNCTIONAL BOWEL DISORDERS;A03A;Drug Class;0:0:0
PA164712703;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03;Drug Class;0:12:0
PA164712704;DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03;Drug Class;53:155:0
PA164712705;DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD);A02B;Drug Class;19:444:0
PA164712706;DRUGS FOR TREATMENT OF BONE DISEASES;M05;Drug Class;10:37:0
PA164712714;DRUGS FOR TREATMENT OF HYPERCALCEMIA;V03AG;Drug Class;0:0:0
PA164712715;DRUGS FOR TREATMENT OF HYPERKALEMIA AND HYPERPHOSPHATEMIA;V03AE;Drug Class;0:0:0
PA164712716;DRUGS FOR TREATMENT OF HYPOGLYCEMIA;V03AH;Drug Class;0:0:0
PA164712707;DRUGS FOR TREATMENT OF LEPRA;J04B, J04BA;Drug Class;8:24:0
PA164712708;DRUGS FOR TREATMENT OF TUBERCULOSIS;J04A;Drug Class;78:800:0
PA164712709;DRUGS USED IN ADDICTIVE DISORDERS;N07B;Drug Class;326:1339:0
PA164712710;DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY;G04C;Drug Class;0:9:0
PA164712719;DRUGS USED IN ERECTILE DYSFUNCTION;G04BE;Drug Class;6:9:0
PA164712721;DRUGS USED IN OPIOID DEPENDENCE;N07BC;Drug Class;167:788:0
PA451455;D-SORBITOL;;Drug;0:0:0
PA166354062;DT-678;;Drug, Metabolite;0:1:0
PA166285081;DULAGLUTIDE;A10BJ05;Drug;0:9:0
PA166327002;DUPILUMAB;D11AH05;Drug;0:0:0
PA164749300;DUTASTERIDE;G04CB02;Drug;0:0:0
PA166182761;DUVELISIB;L01EM04;Drug;0:0:0
PA451938;D-XYLITOL;;Drug;0:0:0
PA164748037;DYCLONINE;N01BX02, R02AD04;Drug;0:0:0
PA164745443;DYDROGESTERONE;G03DB01;Drug;0:0:0
PA164748027;DYPHYLLINE;R03DA01;Drug;0:0:0
PA166094735;E 7010;;Drug;0:0:0
PA166304861;EBASTINE;R06AX22;Drug;0:3:0
PA161660841;EBSELEN;;Drug;0:0:0
PA165958350;ECABET;;Drug;0:0:0
PA166222861;ECALLANTIDE;;Drug, Biological Intermediate;0:0:0
PA131550706;ECHINACEA;;Drug;0:0:0
PA164743139;ECHOTHIOPHATE IODIDE;;Drug;0:0:0
PA164746010;ECONAZOLE;D01AC03, G01AF05;Drug;0:0:0
PA164712722;ECTOPARASITICIDES, INCL. SCABICIDES;P03A;Drug Class;5:13:0
PA164712723;ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS;P03;Drug Class;5:13:0
PA449439;EDETIC ACID;;Drug;0:0:0
PA166128806;EDOXABAN;B01AF03;Drug;0:18:1
PA166334842;EDRECOLOMAB;L01FX01;Drug;0:0:0
PA449437;EDROPHONIUM;;Drug;0:0:0
PA164748817;EFALIZUMAB;L04AA21;Drug;0:0:0
PA449441;EFAVIRENZ;J05AG03;Drug;33:478:2
PA166176033;EFAVIRENZ / EMTRICITABINE / TENOFOVIR DISOPROXIL;;Drug;0:0:0
PA166268781;EFGARTIGIMOD ALFA;L04AA58;Drug;0:0:0
PA166205401;EFMARODOCOKIN;;Drug;0:0:0
PA166305965;EGFR (EPIDERMAL GROWTH FACTOR RECEPTOR) INHIBITORS;L01FE;Drug Class;21:126:0
PA166206962;EIDD-2801;;Prodrug;0:0:0
PA164924562;ELACRIDAR;;Drug;0:0:0
PA166182348;ELAGOLIX;H01CC03;Drug;0:0:0
PA166163436;ELBASVIR;J05AP10;Drug;0:0:0
PA166163438;ELBASVIR / GRAZOPREVIR;J05AP54;Drug;0:3:0
PA10068;ELECTROLYTES;;Drug;0:0:0
PA164712724;ELECTROLYTE SOLUTIONS;B05XA;Drug Class;0:0:0
PA164712725;ELECTROLYTES WITH CARBOHYDRATES;A07C;Drug Class;0:0:0
PA134687947;ELETRIPTAN;N02CC06;Drug;0:7:1
PA166185161;ELEXACAFTOR;R07AX;Drug;0:7:2
PA166334882;ELOTUZUMAB;L01FX08;Drug;0:0:0
PA166328801;ELRANATAMAB;;Drug;0:0:0
PA165981594;ELTROMBOPAG;B02BX05;Drug;0:4:0
PA165291498;ELVITEGRAVIR;;Drug;0:0:0
PA166182675;ELVITEGRAVIR / COBICISTAT / EMTRICITABINE / TENOFOVIR DISOPROXIL FUMARATE;;Drug;0:0:0
PA166182763;EMAPALUMAB;L04AA39;Drug;0:0:0
PA164751802;EMEDASTINE;S01GX06;Drug;0:0:0
PA164712727;EMOLLIENTS AND PROTECTIVES;D02, D02A;Drug Class;0:0:0
PA166163327;EMPAGLIFLOZIN;;Drug;0:5:0
PA10069;EMTRICITABINE;J05AF09;Drug;0:1:0
PA166308961;EMTRICITABINE / TENOFOVIR DISOPROXIL FUMARATE;;Prodrug;0:0:0
PA166305001;EMVODODSTAT;;Drug;0:0:0
PA449459;ENCAINIDE;C01BC08;Drug;0:0:0
PA164712728;ENCEPHALITIS VACCINES;J07BA;Drug Class;0:0:0
PA164712729;ENDOCRINE THERAPY;L02;Drug Class;71:527:0
PA164712730;ENEMAS;A06AG;Drug Class;0:0:0
PA449461;ENFLURANE;N01AB04;Drug;47:14:1
PA166190121;ENFORTUMAB VEDOTIN;L01FX13;Drug;0:0:0
PA164744517;ENFUVIRTIDE;J05AX07;Drug;0:0:0
PA449462;ENOXACIN;J01MA04;Drug;0:0:0
PA449463;ENOXAPARIN;B01AB05;Drug;0:0:0
PA164768794;ENOXIMONE;C01CE03;Drug;0:0:0
PA164749350;ENPROFYLLINE;;Drug;0:0:0
PA166364001;ENSITRELVIR;J05AE16;Drug;0:0:0
PA164784025;ENTECAVIR;J05AF10;Drug;0:0:0
PA162370429;ENTOLIMOD;;Drug;0:0:0
PA166123406;ENZALUTAMIDE;L02BB04;Drug;0:0:0
PA164712731;ENZYME AND ACID PREPARATIONS, COMBINATIONS;A09AC;Drug Class;0:0:0
PA164712732;ENZYME INHIBITORS;L02BG;Drug Class;50:265:1
PA164712733;ENZYME PREPARATIONS;A09AA;Drug Class;0:0:0
PA164777031;EPHEDRA;;Drug;0:0:0
