FLUORURO SODICO;SODIUM FLUORIDE
VIRUS RUBEOLA ATENUADO; ATTENUATED RUBELLA VIRUS
VIRUS VARICELA; CHICKENPOX VIRUS
VIRUS VARICELA ZOSTER; VARICELA ZOSTER VIRUS
VIRUS DE LA FIEBRE AMARILLA; YELLOW FEVER VIRUS
VACUNA PAPILOMAVIRUS HUMANO TIPOS 6,11,16,18; HUMAN PAPILLOMAVIRUS VACCINE TYPES 6, 11, 16, 18
VIRUS DEL PAPILOMA HUMANO TIPOS 16 Y 18;HUMAN PAPILLOMAVIRUS TYPES 16 AND 18
PAPILOMAVIRUS (TIPOS HUMANOS 6, 11, 16, 18, 31, 33, 45, 52, 58); PAPILLOMAVIRUS (HUMAN TYPES 6, 11, 16, 18, 31, 33, 45, 52, 58)
VACUNAS CONTRA COVID-19; COVID-19 VACCINES
DIFTERIA-POLIOMIELITIS-TÃ¯Â¿Â½TANOS; DIPHTHERIA-POLIOMYELITIS-TETANUS
DIFTERIA+PERTUSIS+POLIOMIELITIS+TETANOS; DIPHTHERIA+PERTUSIS+POLIOMIELITIS+TETANUS
DIFTERIA+PERTUSSIS+TETANOS+HEPATITIS B; DIPHTHERIA+PERTUSSIS+TETANUS+HEPATITIS B
DIFTERIA+H.INFLUENZA+PERTUSSIS+POLIOMIELITIS+TETANOS; DIPHTHERIA+H.INFLUENZA+PERTUSSIS+POLIOMYELITIS+TETANUS
DIFTERIA+HEPATITIS B+TETANOS; DIPHTHERIA+HEPATITIS B+TETANUS
HAEMOPHILUS INFLUENZAE TIPOS A Y B; HAEMOPHILUS INFLUENZAE TYPES A AND B
DIFTERIA+H.INFLUENZAE B+PERTUSIS+POLIOMIELIT+TETANOS+HEPAT.B; DIPHTHERIA+H.INFLUENZAE B+PERTUSIS+POLIOMYELIT+TETANUS+HEPAT.B
SALMONELLA TYPHI + HEPATITIS A; SALMONELLA TYPHI + HEPATITIS A
DIFTERIA+H.INFLUENZAE+PERTUSIS+TETANOS+HEPATIT B+MENING A/C; DIPHTHERIA+H.INFLUENZAE+PERTUSIS+TETANUS+HEPATIT B+MENING A/C
VACUNAS ANTIBACTERIANAS Y ANTIVIRALES ASOCIADAS NE; ANTIBACTERIAL AND ASSOCIATED ANTIVIRALS VACCINES NE
CICLOFOSFAMIDA; CYCLOPHOSPHAMIDE
CLORAMBUCILO; Chlorambucil
MELFALAN; MELFALAN
CLORMETINA; CHLORMETINE
IFOSFAMIDA; IFOSFAMIDE
TROFOSFAMIDA; TROPHOSPHAMIDE
PREDNIMUSTINA; PREDNIMUSTINE
BENDAMUSTINA; BENDAMUSTINA
BENDAMUSTINA; BENDAMUSTINA
BUSULFANO; BUSULFANO
TREOSULFANO; Treosulphane
TIOTEPA; TIOTEPA
AZACITIDINA; AZACITIDINE
CARMUSTINA; CARMUSTINA
LOMUSTINA; LOMUSTINA
SEMUSTINA; SEMUSTINA
ESTREPTOZOCINA; Streptozocin
FOTEMUSTINA; FOTEMUSTINA
NIMUSTINA; NIMUSTINA
RANIMUSTINA; RANIMUSTINA
TEMOZOLOMIDA; TEMOZOLOMIDE
DACARBAZINA; DACARBAZINE
METOTREXATO; Methotrexate
RALTITREXED; RALTITREXED
PEMETREXED; PEMETREXED
PRALATREXATO; PRALATREXATE
MERCAPTOPURINA;Mercaptopurine
TIOGUANINA; THIOGUANINE
CLADRIBINA; CLADRIBINE
FLUDARABINA; FLUDARABINE
CLOFARABINA; CLOFARABINE
NELARABINA; NELARABINE
MERCAPTOPROPION; Mercaptopropion
CITARABINA; CYTARABINE
FLUOROURACILO; FLUOROURACIL
TEGAFUR; TEGAFUR
GEMCITABINA; GEMCITABINE
CAPECITABINA; CAPECITABINE
AZACITIDINA; AZACITIDINE
DECITABINA; Decitabine
FLUOROURACILO, COMBINACIONES CON; FLUOROURACIL, COMBINATIONS WITH
TEGAFUR EN ASOCIACION; TEGAFUR IN ASSOCIATION
TRIFLURIDINA, COMBINACIONES CON; TRIFLURIDINE, COMBINATIONS WITH
AZACITIDINA; AZACITIDINE
VINBLASTINA; Vinblastine
VINCRISTINA; VINCRISTINE
VINDESINA; VINDESINE
VINORELBINA; VINORELBINE
VINFLUNINA; Vinflunine
ETOPOSIDO; ETOPOSIDE
TENIPOSIDO; TENIPOSIDE
DERIVADOS DE PODOFILOTOXINA (ANTINEOPLASICOS) NE; PODOPHYLOTOXIN DERIVATIVES (ANTINEOPLASTICS) NE
PACLITAXEL; PACLITAXEL
DOCETAXEL; DOCETAXEL
CABAZITAXEL; CABAZITAXEL
TOPOTECAN; TOPOTECAN
IRINOTECAN; IRINOTECAN
TRABECTEDINA; TRABECTEDIN
BRENTUXIMUMAB VEDOTIN; Brentuximumab Vedotin
DACTINOMICINA; DACTINOMYCIN
DOXORUBICINA; DOXORUBICIN
DAUNORUBICINA; DAUNORUBICIN
EPIRUBICINA; Epirubicin
IDARRUBICINA; IDARRUBICIN
MITOXANTRONA; MITOXANTRONE
PIRARUBICINA; PIRARUBICIN
VALRUBICINA; Valrubicin
AMRUBICINA; AMRUBICIN
PIXANTRONA; PIXANTRONA
BLEOMICINA; BLEOMYCIN
PLICAMICINA; Plicamycin
MITOMICINA; Mitomycin
IXABEPILONA; IXABEPILONA
IMATINIB; IMATINIB
DASATINIB; DASATINIB
NILOTINIB; NILOTINIB
BOSUTINIB; BOSUTINIB
PONATINIBÃ¯Â¿Â½; PONATINIBÃ¯Â¿Â½
GEFITINIB; GEFITINIB
ERLOTINIB; ERLOTINIB
AFATINIBÃ¯Â¿Â½; AFATINIBÃ¯Â¿Â½
OSIMERTINIB; OSIMERTINIB
DACOMITINIBÃ¯Â¿Â½;DACOMITINIBÃ¯Â¿Â½
VEMURAFENIBÃ¯Â¿Â½; VEMURAFENIBÃ¯Â¿Â½
DABRAFENIBÃ¯Â¿Â½; DABRAFENIBÃ¯Â¿Â½
CRIZOTINIB; CRIZOTINIB
CERITINIBÃ¯Â¿Â½; CERITINIBÃ¯Â¿Â½
ALECTINIBÃ¯Â¿Â½; ALECTINIBÃ¯Â¿Â½
LORLATINIB; LORLATINIB
TRAMETINIBÃ¯Â¿Â½; TRAMETINIBÃ¯Â¿Â½
COBIMETINIB; COBIMETINIB
PALBOCICLIBÃ¯Â¿Â½; PALBOCICLIBÃ¯Â¿Â½
RIBOCICLIBÃ¯Â¿Â½; RIBOCICLIBÃ¯Â¿Â½
ABEMACICLIB; ABEMACICLIB
TEMSIROLIMUS; TEMSIROLIMUS
EVEROLIMUS; EVEROLIMUS
LAPATINIBÃ¯Â¿Â½; LAPATINIBÃ¯Â¿Â½
RUXOLITINIB; RUXOLITINIB
AXITINIB; Axitinib
TIVOZANIBÃ¯Â¿Â½; TIVOZANIBÃ¯Â¿Â½
IBRUTINIBÃ¯Â¿Â½; IBRUTINIBÃ¯Â¿Â½
IDELALISIBÃ¯Â¿Â½; IDELALISIBÃ¯Â¿Â½
SUNITINIB; SUNITINIB
SORAFENIBÃ¯Â¿Â½; SORAFENIBÃ¯Â¿Â½
PAZOPANIB; PAZOPANIB
VANDETANIB; VANDETANIB
REGORAFENIBÃ¯Â¿Â½; REGORAFENIBÃ¯Â¿Â½
CABOZANTINIB; Cabozantinib
LENVATINIBÃ¯Â¿Â½; LENVATINIBÃ¯Â¿Â½
NINTEDANIB; NINTEDANIB
MIDOSTAURINÃ¯Â¿Â½; MIDOSTAURINÃ¯Â¿Â½
CISPLATINO; CISPLATIN
CARBOPLATINO; CARBOPLATIN
OXALIPLATIN; OXALIPLATIN
POLIPLATILENO; POLYPLATYLENE
OXALIPLATIN EN ASOCIACION; OXALIPLATIN IN ASSOCIATION
PROCARBAZINA; PROCARBAZINE
EDRECOLOMAB; EDRECOLOMAB
RITUXIMAB; RITUXIMAB
TRASTUZUMAB; TRASTUZUMAB
ALEMTUZUMAB; ALEMTUZUMAB
GEMTUZUMAB; GEMTUZUMAB
CETUXIMAB; CETUXIMAB
BEVACIZUMAB; BEVACIZUMAB
PANITUMUMAB; PANITUMUMAB
CATUMAXOMAB; CATUMAXOMAB
OFATUMUMAB; OFATUMUMAB
IPILIMUMAB; IPILIMUMAB
BRENTUXIMAB VEDOTINA; BRENTUXIMAB VEDOTIN
PERTUZUMAB;PERTUZUMAB
TRASTUZUMAB EMTANSINA; TRASTUZUMAB EMTANSINE
OBINUTUZUMAB; OBINUTUZUMAB
NIVOLUMAB; NIVOLUMAB
PEMBROLIZUMAB; Pembrolizumab
BLINATUMOMAB; BLINATUMOMAB
RAMUCIRUMAB; RAMUCIRUMAB
NECITUMUMAB; NECITUMUMAB
ELOTUZUMAB; ELOTUZUMAB
DARATUMUMAB; DARATUMUMAB
INOTUZUMAB OZOGAMICINA; INOTUZUMAB OZOGAMICIN
OLARATUMAB; OLARATUMAB
DURVALUMAB; DURVALUMAB
AVELUMAB; AVELUMAB
ATEZOLIZUMABÃ¯Â¿Â½; ATEZOLIZUMABÃ¯Â¿Â½
PERTUZUMAB;PERTUZUMAB
ANTICUERPOS MONOCLONALES (ANTINEOPLASICOS) NE; MONOCLONAL ANTIBODIES (ANTINEOPLASTIC) NE
PORFIMERO DE SODIO; SODIUM PORPHIMER
METILAMINOLEVULINATO; METHYLAMINOLEVOLULINATE
AMINOLEVULINICO ACIDO; AMINOLEVULINIC ACID
TEMOPORFIN; TEMOPORFIN
EFAPROXIRAL; EFAPROXIRAL
IMATINIB; IMATINIB
GEFITINIB; GEFITINIB
ERLOTINIB; ERLOTINIB
SUNITINIB; SUNITINIB
SORAFENIB; SORAFENIB
DASATINIB; DASATINIB
LAPATINIB; LAPATINIB
NILOTINIB; NILOTINIB
TEMSIROLIMUS; TEMSIROLIMUS
EVEROLIMUS; EVEROLIMUS
PAZOPANIB; PAZOPANIB
VANDETANIB; VANDETANIB
AFATINIB; AFATINIB
BOSUTINIB; BOSUTINIB
VEMURAFENIB; VEMURAFENIB
CRIZOTINIB; CRIZOTINIB
AXITINIB; Axitinib
RUXOLITINIB; RUXOLITINIB
REGORAFENIB; REGORAFENIB
DABRAFENIB; DABRAFENIB
PONATINIB; PONATINIB
TRAMETINIB; TRAMETINIB
CABOZANTINIB; Cabozantinib
IBRUTINIB; Ibrutinib
CERITINIB; CERITINIB
LENVATINIB; LENVATINIB
NINTEDANIB; NINTEDANIB
PALBOCICLIB; PALBOCICLIB
TIVOZANIB; TIVOZANIB
OSIMERTINIB; OSIMERTINIB
ALECTINIB; ALECTINIB
COBIMETINIB; COBIMETINIB
MIDOSTAURINA; MIDOSTAURIN
BINIMETINIB; BINIMETINIB
RIBOCICLIB; RIBOCYCLIB
LORLATINIB; LORLATINIB
ENCORAFENIB; ENCORAFENIB
DACOMITINIB; DACOMITINIB
ABEMACICLIB; ABEMACICLIB
INHIBIDORES DIRECTOS DE LA PROTEINA QUINASA (ANTINEOPLASIC) NE; DIRECT PROTEIN KINASE INHIBITORS (ANTINEOPLASIC) NE
TRETINOIN; TRETINOIN
ALITRETINOIN; ALITRETINOIN
BEXAROTENE; BEXAROTENE
BORTEZOMIB; BORTEZOMIB
CARFILZOMIBÃ¯Â¿Â½; CARFILZOMIBÃ¯Â¿Â½
IXAZOMIB; IXAZOMIB
PANOBINOSTAT; PANOBINOSTAT
VISMODEGIBÃ¯Â¿Â½; VISMODEGIBÃ¯Â¿Â½
SONIDEGIBÃ¯Â¿Â½;SONIDEGIBÃ¯Â¿Â½
OLAPARIB; OLAPARIB
NIRAPARIBÃ¯Â¿Â½; NIRAPARIBÃ¯Â¿Â½
RUCAPARIBÃ¯Â¿Â½; RUCAPARIBÃ¯Â¿Â½
AMSACRINA; AMSACRINA
ASPARAGINASA; Asparaginase
ALTRETAMINA; ALTRETAMINE
HIDROXICARBAMIDA; HYDROXYCARBAMIDE
PENTOSTATINA; PENTOSTATIN
MILTEFOSINA; MILTEFOSINE
ESTRAMUSTINA; ESTRAMUSTINA
TRETINOINA; TRETINOIN
TOPOTECAN; TOPOTECAN
IRINOTECAN; IRINOTECAN
ALITRETINOINA; ALITRETINOIN
MITOTANO; MITOTANE
PEGASPARGASA; PEGASPARGASA
BEXAROTENO; BEXAROTENE
ARSENICO TRIOXIDO; ARSENIC TRIOXIDE
DENILEUKIN DIFTITOX; DENILEUKIN DIFTITOX
BORTEZOMIB; BORTEZOMIB
CELECOXIB; CELECOXIB
ANAGRELIDA; ANAGRELIDE
OBLIMERSEN; OBLIMERSEN
SITIMAGENE CERADENOVEC; SITIMAGENE CERADENOVEC
OMACETAXINA MEPESUCCINATO; Omacetaxine Mepesuccinate
ERIBULIN; ERIBULIN
PANOBINOSTAT; PANOBINOSTAT
VISMODEGIB; VISMODEGIB
AFLIBERCEPT; AFLIBERCEPT
CARFILZOMIB; CARFILZOMIB
OLAPARIB; OLAPARIB
IDELALISIB; IDELALISIB
SONIDEGIB; SONIDEGIB
IXAZOMIB; IXAZOMIB
TALIMOGEN LAHERPAREPVEC; TALIMOGEN LAHERPAREPVEC
VENETOCLAX; VENETOCLAX
NIRAPARIB; NIRAPARIB
RUCAPARIB; RUCAPARIB
AXICABTAGEN CILOLEUCEL; AXICABTAGEN CILOLEUCEL
TIRAPAZAMINA; Tirapazamine
OTROS ANTINEOPLASICOS NE; OTHER ANTINEOPLASTIC DRUGS NE
CITARABINA Y DAUNORUBICINA; Cytarabine and Daunorubicin
POLIESTRADIOL FOSFATO; POLYESTRADIOL PHOSPHATE
FOSFESTROL; FOSFESTROL
MEGESTROL; MEGESTROL
MEDROXIPROGESTERONA; MEDROXIPROGESTERONE
BUSERELINA; Buserelina
LEUPRORELINA; Leuprolide
GOSERELINA; GOSERELIN
TRIPTORELINA; TRIPTORELIN
HISTRELINA; HISTRELIN
OTRAS HORMONAS NE; OTHER NE HORMONES
TAMOXIFENO; TAMOXIFEN
TOREMIFENO; TOREMIFENE
FULVESTRANT; FULVESTRANT
FLUTAMIDA; FLUTAMIDE
NILUTAMIDA; Nilutamide
BICALUTAMIDA; BICALUTAMIDE
ENZALUTAMIDA; ENZALUTAMIDE
APALUTAMIDA; APALUTAMIDE
DAROLUTAMIDA;DAROLUTAMIDE
AMINOGLUTETIMIDA; Aminoglutethimide
FORMESTANO; FORMESTAN
ANASTROZOL; ANASTROZOLE
LETROZOL; LETROZOLE
EXEMESTANO; Exemestane
INHIBIDORES ENZIMATICOS (TERAPIA ENDOCRINA) NE; ENZYME INHIBITORS (ENDOCRINE THERAPY) NE
ABARELIX; ABARELIX
DEGARELIX; DEGARELIX
ABIRATERONE; ABIRATERONE
OTROS ANTAGONISTAS HORMONALES Y SUSTANC.RELAC.(TERAP.ENDOCR) NE; OTHER HORMONE ANTAGONISTS AND RELATED SUBSTANCES (ENDOCR THERAPY) NE
FILGRASTIM; FILGRASTIM
MOLGRAMOSTIM; MOLGRAMOSTIM
SARGRAMOSTIM; SARGRAMOSTIM
LENOGRASTIM; LENOGRASTIM
ANCESTIM; ANCESTIM
PEGFILGRASTIM; PEGFILGRASTIM
LIPEGFILGRASTIM; LIPEGFILGRASTIM
INTERFERON ALFA NATURAL; NATURAL ALPHA INTERFERON
INTERFERON BETA NATURAL; NATURAL INTERFERON BETA
INTERFERON GAMMA; INTERFERON GAMMA
INTERFERON ALFA-2A; INTERFERON ALPHA-2A
INTERFERON ALFA-2B; INTERFERON ALPHA-2B
INTERFERON ALFA-N1; INTERFERON ALPHA-N1
INTERFERON BETA-1A; INTERFERON BETA-1A
INTERFERON BETA-1B; INTERFERON BETA-1B
INTERFERON ALFACON-1; INTERFERON ALFACON-1
PEGINTERFERON ALFA-2B; PEGINTERFERON ALPHA-2B
PEGINTERFERON ALFA-2A; PEGINTERFERON ALFA-2A
ALBINTERFERON ALFA-2B; ALBINTERFERON ALPHA-2B
PEGINTERFERON BETA-1A; PEGINTERFERON BETA-1A
PEG-INTERFERON ALFA 2-B EN ASOCIACION; PEG-INTERFERON ALFA 2-B IN ASSOCIATION
INTERFERONES (INMUNOESTIMULANTES) NE; INTERFERONS (IMMUNOSTIMULANTS) NE
ALDESLEUKIN; ALDESLEUKIN
OPRELVEKIN; OPRELVEKIN
LENTINAN; LENTINAN
ROQUINIMEX; ROQUINIMEX
VACUNA BCG; BCG VACCINE
PEGADEMASA; Dough Adhesive
PIDOTIMOD; PIDOTIMOD
POLI I:C; POLI I:C
POLI ICLC; ICLC POLI
TIMOPENTINA; THYMOPENTINE
INMUNOCACIN; IMMUNOCATION
TASONERMIN;TASONERMIN
VACUNA DEL MELANOMA; MELANOMA VACCINE
GLATIRAMERO ACETATO; GLATIRAMERO ACETATE
HISTAMINA DIHIDROCLORURO; HISTAMINE DIHYDROCHLORIDE
MIFAMURTIDA; MIFAMURTIDA
PLERIXAFOR; PLERIXAFOR
FOSFOGLICOPEPTICAL; PHOSPHOGLYCOPEPTICAL
PROCODAZOL; PROCODAZOL
MYCOBACTERIUM BOVIS; MYCOBACTERIUM BOVIS
TIMOESTIMULINA; THYMOSTIMULIN
LINFOCITOS T ALOGENICOS MODIFICADOS GENETICAMENTE; GENETICALLY MODIFIED ALLOGENIC T LYMPHOCYTES
OTRAS CITOKINAS E INMUNOMODULADORES NE; OTHER CYTOKINES AND IMMUNOMODULATORS NE
MUROMONAB-CD3; MUROMONAB-CD3
INMUNOGLOBULINA ANTILINFOCITICA CABALLO; HORSE ANTILYMPHOCYTIC IMMUNOGLOBULIN
INMUNOGLOBULINA ANTITIMOCITICA CONEJO; Antithymocytic immunoglobulin rabbit
MICOFENOLICO ACIDO; MYCOPHENOLIC ACID
SIROLIMUS; SIROLIMUS
LEFLUNOMIDA; LEFLUNOMIDE
EVEROLIMUS; EVEROLIMUS
EFALIZUMAB; EFALIZUMAB
ABETIMUS; ABETIMUS
NATALIZUMAB; Natalizumab
ABATACEPT; ABATACEPT
ECULIZUMAB; ECULIZUMAB
BELIMUMAB; BELIMUMAB
FINGOLIMOD; FINGOLIMOD
BELATACEPT; BELATACEPT
TOFACITINIB; TOFACITINIB
TERIFLUNOMIDA; TERIFLUNOMIDE
APREMILASTÃ¯Â¿Â½; APREMILASTÃ¯Â¿Â½
VEDOLIZUMAB; VEDOLIZUMAB
ALEMTUZUMAB; ALEMTUZUMAB
OCRELIZUMAB; OCRELIZUMAB
BARICITINIB; BARICITINIB
CLADRIBINA; CLADRIBINE
UPADACITINIB; UPADACITINIB
INMUNOSUPRESORES SELECTIVOS NE; SELECTIVE IMMUNOSUPPRESSANTS NE
ETANERCEPT; ETANERCEPT
INFLIXIMAB; INFLIXIMAB
AFELIMOMAB; AFELIMOMAB
ADALIMUMAB; ADALIMUMAB
CERTOLIZUMAB PEGOL; CERTOLIZUMAB PEGOL
GOLIMUMAB; GOLIMUMAB
DACLIZUMAB; DACLIZUMAB
BASILIXIMAB; BASILIXIMAB
ANAKINRA; ANAKINRA
RILONACEPT; RILONACEPT
USTEKINUMAB; USTEKINUMAB
MEPOLIZUMAB; MEPOLIZUMAB
TOCILIZUMAB;Tocilizumab
CANAKINUMAB; CANAKINUMAB
BRIAKINUMAB; BRIAKINUMAB
SECUKINUMAB; SECUKINUMAB
SILTUXIMAB; SILTUXIMAB
BRODALUMAB; BRODALUMAB
IXEKIZUMAB; IXEKIZUMAB
SARILUMAB; SARILUMAB
GUSELKUMAB; GUSELKUMAB
TILDRAKIZUMAB; TILDRAKIZUMAB
RISANKIZUMAB; RISANKIZUMAB
INHIBIDORES DE LA INTERLEUCINA (INMUMOSUPRESORES) NE; INTERLEUKIN INHIBITORS (IMMUMOSUPPRESSANTS) NE
CICLOSPORINA; CYCLOSPORINE
TACROLIMUS; Tacrolimus
VOCLOSPORIN; VOCLOSPORIN
AZATIOPRINA; AZATHIOPRINE
TALIDOMIDA; THALIDOMIDE
METOTREXATO; Methotrexate
LENALIDOMIDA; LENALIDOMIDE
PIRFENIDONA; PIRFENIDONE
POMALIDOMIDA; Pomalidomide
DIMETIL FUMARATO; DIMETHYL FUMARATE
DARVADSTROCEL; DARVADSTROCEL
OTROS INMUNOSUPRESORES NE; OTHER IMMUNOSUPPRESSANTS NE
FENILBUTAZONA; PHENYLBUTAZONE
OXIFENBUTAZONA; Oxyphenbutazone
FECLOBUZONA; FECLOBUZONA
SUXIBUZONA; SUXIBUZONE
BENZPIPERILONA; BENZPIPERYLONE
BUTILPIRAZOLIDINAS (ANTIINFLAMAT.NO ESTEORIDEOS) NE; BUTYLPYRAZOLIDINES (ANTI-INFLAMAT.NON-STEORIDINES) NE
INDOMETACINA; Indomethacin
SULINDACO; SULINDACO
TOLMETINA; TOLMETINA
ZOMEPIRACO; ZOMEPIRACO
DICLOFENACO; Diclofenac
ALCLOFENACO; ALCLOFENAC
BUMADIZONA; BUMADIZONE
FENTIAZACO; FENTIAZACO
ACEMETACINA; ACEMETACIN
OXAMETAZINA; OXAMETAZINE
PROGLUMETACINA; PROGLUMETACINE
KETOROLACO; Ketorolac
ACECLOFENACO; ACECLOFENAC
BUFEXAMAC; BUFEXAMAC
INDOMETACINA EN ASOCIACION; Indomethacin in association
DICLOFENACO EN ASOCIACION; DICLOFENAC IN ASSOCIATION
DICLOFENACO ASOCIADO A MISOPROSTOL; Diclofenac in association with Misoprostol
GLUCAMETACINA; Glucamethacin
PIROXICAM; PIROXICAM
TENOXICAM; TENOXICAM
DROXICAM; DROXICAM
LORNOXICAM; LORNOXICAM
MELOXICAM; MELOXICAM
IBUPROFENO; IBUPROFEN
NAPROXENO; NAPROXEN
KETOPROFENO;Ketoprofen
FENOPROFENO; Fenoprofen
FENBUFEN; FENBUFEN
FLURBIPROFENO; FLURBIPROFEN
TIAPROFENICO ACIDO; TIAPROFENIC ACID
OXAPROCINO; OXAPROCINE
IBUPROXAM; IBUPROXAM
DEXIBUPROFENO; Dexibuprofen
DEXKETOPROFEN; Dexketoprofen
NAPROXCINOD; NAPROXCINOD
IBUPROFENO EN ASOCIACION; IBUPROFEN IN ASSOCIATION
NAPROXENO ASOCIADO A ESOMEPRAZOL; NAPROXEN IN ASSOCIATION WITH ESOMEPRAZOLE
KETOPROFENO EN ASOCIACION; Ketoprofen in association
BUTIBUFENO; BUTYBUFENE
IBUPROFENO ARGININA; IBUPROFEN ARGININE
IBUPROFENO LISINA; IBUPROFEN LYSINE
MEFENAMICO ACIDO; Mefenamic Acid
MECLOFENAMICO ACIDO; Meclofenamic Acid
CELECOXIB; CELECOXIB
ROFECOXIB; ROFECOXIB
VALDECOXIB; VALDECOXIB
PARECOXIB; PARECOXIB
ETORICOXIB; ETORICOXIB
LUMIRACOXIB; LUMIRACOXIB
COXIBS (AINES) NE; COXIBS (NSAIDs) NE
NABUMETONA; NABUMETHONE
NIFLUMICO ACIDO; NIFLUMIC ACID
GLUCOSAMINA; GLUCOSAMINE
GLUCOSAMINAGLUCONATO, POLISULFATO; GLUCOSAMINAGLUCONATE, POLYSULPHATE
ORGOTEINA; ORGOTEIN
NIMESULIDA; NIMESULIDE
FEPRAZONA; FEPRAZONE
DIACEREINA; DIACEREIN
MORNIFLUMATO; Morniflumate
TENIDAP; TENIDAP
OXACEPROL; OXACEPROL
CONDROITIN SULFATO; CHONDROITIN SULFATE
OXACEPROL EN ASOCIACION; OXACEPROL IN ASSOCIATION
GLUCOSAMINA+CONDROITIN SULFATO; GLUCOSAMINE+CHONDROITIN SULFATE
ISONIXINA; ISONIXIN
OTROS ANTIINFLAMATORIOS Y ANTIREUMATICOS NO ESTREOIDEOS NE; OTHER NON-STEROID ANTI-INFLAMMATORY AND ANTIREUMATIC DRUGS NE
INDOMETACINA+BETAMETASONA; Indomethacin + Betamethasone
INDOMETACINA+PREDNISONA; Indomethacin + Prednisone
CORTICOIDES ASOCIACIADOS A VITAMINAS; CORTICOSTEROIDS ASSOCIATED WITH VITAMINS
OTROS ANTIINFLAMAT/ANTIRREUMATICOS EN ASOCIACION NE; OTHER ANTI-INFLAMMATORY/ANTIRHEUMATICS IN ASSOCIATION WITH NE
AUROTIOMALATO SODICO;SODIUM AUROTHIOMALATE
AURANOFINA; AURANOFINE
PENICILAMINA; PENICILLAMINE
OTROS AGENTES ANTIRREUMATICOS ESPECIFICOS NE; OTHER SPECIFIC ANTIRHEUMATIC AGENTS NE
FENILBUTAZONA; PHENYLBUTAZONE
BENCIDAMINA; Benzydamine
ETOFENAMATO; ETHOFENAMATE
PIROXICAM; PIROXICAM
FELBINACO; FELBINACO
KETOPROFENO;Ketoprofen
NAPROXENO; NAPROXEN
IBUPROFENO; IBUPROFEN
FENTIAZACO; FENTIAZACO
DICLOFENACO; Diclofenac
NIFLUMICO ACIDO; NIFLUMIC ACID
SUXIBUZONA; SUXIBUZONE
INDOMETACINA; Indomethacin
ACECLOFENACO; ACECLOFENAC
NIMESULIDA; NIMESULIDE
DEXKETOPROFENO; Dexketoprofen
PIKETOPROFENO; PIKETOPROFEN
FENILBUTAZONA EN ASOCIACION; PHENYLBUTAZONE IN ASSOCIATION
BENCIDAMINA EN ASOCIACION; BENZYDAMINE IN ASSOCIATION
MABUPROFENO; MABUPROFEN
IBUPROXAM; IBUPROXAM
BUTIBUFENO; BUTYBUFENE
DEXKETOPROFEN; Dexketoprofen
PIKETOPROFENO; PIKETOPROFEN
FEPRADINOL; FEPRADINOL
ANTIINFLAMATORIOS NO ESTEROIDEOS PARA USO TOPICO NE; NON-STEROIDAL ANTI-INFLAMMATORY DRUGS FOR TOPICAL USE NE
CAPSAICINA; CAPSAICIN
CAPSAICINA Y SIMILARES NE; CAPSAICIN AND SIMILAR NE
SALICILATO PICOLAMINA; Picolamine salicylate
SALICILICO ACIDO EN ASOCIACION; SALICYLIC ACID IN ASSOCIATION
PREPARADOS CON AC.SALICILICO Y DERIV.(AINES TOPIC) NE; PREPARATIONS WITH SALICYLIC ACID AND DERIVATIVES (TOPICAL NSAIDS) NE
DIMETIL SULFOXIDO; DIMETHYL SULFOXIDE
IDROCILAMIDA; IDROCYLAMIDE
ALCOHOL ALCANFORADO; CAMPHORATED ALCOHOL
ALCOHOL DE ROMERO; ROSEMARY ALCOHOL
NONIVAMIDA+NICOTINICO ACIDO; Nonivamide + Nicotinic Acid
CIMENO; CYMENUS
OTROS PROD.TOPICOS PARA DOLOR ARTICULAR Y MUSCULAR NE; OTHER TOPICAL PRODUCTS FOR JOINT AND MUSCLE PAIN NE
ALCURONIO; ALCURONIUM
TUBOCURARINA; TUBOCURARINE
SUXAMETONIO; SUXAMETHONIUM
PANCURONIO; PANCURONIUM
GALAMINA; GALAMIN
VECURONIO; VECURONIO
ATRACURIO; Atracurium
ROCURONIO BROMURO; ROCURONIUM BROMIDE
MIVACURIO; MIVACURIO
CISATRACURIO; CISATRACURIUS
TOXINA BOTULINICA; BOTULINUM TOXIN
CARISOPRODOL; CARISOPRODOL
METOCARBAMOL; METHOCARBAMOL
CARISOPRODOL EN ASOCIACION; CARISOPRODOL IN ASSOCIATION
METOCARBAMOL EN ASOCIACION; METHOCARBAMOL IN ASSOCIATION
BACLOFENO; BACLOFEN
TIZANIDINA; TIZANIDINE
TIOCOLCHICOSIDO; Thiocolchicoside
TETRAZEPAM;TETRAZEPAM
CICLOBENZAPRINA; CYCLOBENZAPRINE
EPERISONA; EPERISONA
TIOCOLCHICOSIDO EN ASOCIACION; TIOCOLCHICOSIDE IN ASSOCIATION
DANTROLENO; DANTROLENE
ALOPURINOL; ALLOPURINOL
FEBUXOSTAT; FEBUXOSTAT
ALOPURINOL EN ASOCIACION; ALLOPURINOL IN ASSOCIATION
PROBENECID; PROBENECID
BENZBROMARONA; BENZBROMARONE
LESINURAD; LESINURAD
BENZIODARONA; BENZIODARONE
COLCHICINA; COLCHICINE
COLCHICINA EN ASOCIACION; COLCHICINE IN ASSOCIATION
PEGLOTICASA; PEGLOTICASE
ETIDRONICO ACIDO; ETIDRONIC ACID
CLODRONICO ACIDO; CLODRONIC ACID
