drug	gene
opioids	KAT2B
opioids	ZNF804A
opioids	HTR2A
opioids	CRYBG2
opioids	CNR1
opioids	ABCB1
opioids	CYP1A2
opioids	CYP2A7P1
opioids	CYP3A
opioids	DRD2
opioids	DRD3
opioids	FAAH
opioids	GABRB3
opioids	GAL
opioids	IL17A
opioids	KCNJ6
opioids	MCOLN1
opioids	MUC16
opioids	BDNF
opioids	OPRD1
opioids	OPRK1
opioids	OPRL1
opioids	OPRM1
opioids	PDE3A
opioids	PDYN
opioids	POM121L2
opioids	RGS19
opioids	TH
opioids	TACR1
opioids	TACR3
opioids	HNF1A
opioids	ZNF165
hydroxyurea	MAP3K5
hmg_coa_reductase_inhibitors	CETP
hmg_coa_reductase_inhibitors	ABCC2
hmg_coa_reductase_inhibitors	CYP2C19
hmg_coa_reductase_inhibitors	CYP2C8
hmg_coa_reductase_inhibitors	CYP2C9
hmg_coa_reductase_inhibitors	CYP2D6
hmg_coa_reductase_inhibitors	CYP3A4
hmg_coa_reductase_inhibitors	CYP3A5
hmg_coa_reductase_inhibitors	SLCO1B1
hmg_coa_reductase_inhibitors	CFAP44
hmg_coa_reductase_inhibitors	COQ2
hmg_coa_reductase_inhibitors	EYS
hmg_coa_reductase_inhibitors	GNB3
hmg_coa_reductase_inhibitors	HMGCR
hmg_coa_reductase_inhibitors	ADAMTS1
hmg_coa_reductase_inhibitors	NOS3
hmg_coa_reductase_inhibitors	CELSR2
hmg_coa_reductase_inhibitors	CHRNA1
hmg_coa_reductase_inhibitors	ABCB1
hmg_coa_reductase_inhibitors	CYP19A1
hmg_coa_reductase_inhibitors	GATM
hmg_coa_reductase_inhibitors	HTR7
hmg_coa_reductase_inhibitors	LPA
hmg_coa_reductase_inhibitors	SLC15A1
hmg_coa_reductase_inhibitors	SLCO1A2
hmg_coa_reductase_inhibitors	SREBF1
hmg_coa_reductase_inhibitors	RYR1
hmg_coa_reductase_inhibitors	HLA-DRB1
hmg_coa_reductase_inhibitors	HLA-G
hmg_coa_reductase_inhibitors	CXCL5
hmg_coa_reductase_inhibitors	SLCO1B3
hmg_coa_reductase_inhibitors	SLCO2B1
hmg_coa_reductase_inhibitors	UGT2B7
hmg_coa_reductase_inhibitors	UGT1A3
hmg_coa_reductase_inhibitors	ABCB11
hmg_coa_reductase_inhibitors	SLC22A6
hmg_coa_reductase_inhibitors	SLC22A8
hmg_coa_reductase_inhibitors	ABCG2
hmg_coa_reductase_inhibitors	UGT1A1
hmg_coa_reductase_inhibitors	APOE
cefuroxime	NR1I2
aflatoxin_b1	CYP2B6
bosentan	SLCO1B1
bosentan	NR1I2
sulfamethoxazole_/_trimethoprim	NAT2
sulfamethoxazole_/_trimethoprim	GSTM1
sulfamethoxazole_/_trimethoprim	HLA-B
sulfamethoxazole_/_trimethoprim	HLA-C
isosorbide_mononitrate	CYB5R4
isosorbide_mononitrate	CYB5R1
isosorbide_mononitrate	CYB5R2
isosorbide_mononitrate	CYB5R3
vandetanib	CYP3A4
vandetanib	KDR
vandetanib	RET
vandetanib	EGFR
pyridoxal_phosphate	CYP2E1
nitroglycerin	ALDH2
nitroglycerin	G6PD
dapsone	CYP3A4
dapsone	CYB5R3
dapsone	G6PD
dapsone	HLA-A
dapsone	HLA-B
dapsone	HLA-DRB1
amitriptyline	ABCB1
lovastatin_acid	SLCO1B1
vindesine	CYP3A4
vindesine	ABCB1
vutrisiran	TTR
terfenadine	CYP3A4
terfenadine	KCNH2
terfenadine	ABCB1
terfenadine	CYP2J2
Hepatitis_vaccines	IL13
Hepatitis_vaccines	IL4R
Hepatitis_vaccines	HLA-DRB1
Dopamine_agonists	SLC22A1
curcumin	CFTR
curcumin	ABCB1
curcumin	ABCG2
sirolimus	ABCB1
sirolimus	IL10
sirolimus	POR
sirolimus	TCF7L2
sirolimus	UGT1A8
sirolimus	NR1I2
miconazole	CYP3A4
miconazole	NR1I2
risdiplam	SMN1
risdiplam	SMN2
dolutegravir_/_abacavir_/_lamivudine	HLA-B
imatinib	ABCC2
imatinib	CYP2B6
imatinib	CYP3A4
imatinib	CYP3A5
imatinib	FIP1L1
imatinib	ULK3
imatinib	RUNDC3B
imatinib	GSTT1
imatinib	ABL1
imatinib	BCL2L11
imatinib	BCR
imatinib	CHST1
imatinib	ABCB4
imatinib	CYP1A2
imatinib	CYP2F1
imatinib	KIT
imatinib	SLC19A1
imatinib	SLCO1A2
imatinib	SLC22A1
imatinib	PDGFRA
imatinib	PDGFRB
imatinib	SLC22A4
imatinib	SLC22A5
imatinib	UGT2A1
imatinib	ABCG2
imatinib	ABCC4
imatinib	EGFR
nicotine	CHRM2
nicotine	CHRNA3
nicotine	CHRNA7
nicotine	CHRNB2
nicotine	COMT
nicotine	CYP2D6
nicotine	ANKK1
nicotine	ADGRL3
nicotine	DDC
nicotine	DRD1
nicotine	FMO1
nicotine	FMO3
nicotine	CHRNA4
nicotine	CHRNB4
nicotine	CYP2A13
nicotine	DRD2
nicotine	DRD4
nicotine	EPB41
nicotine	GALR1
nicotine	GRIN3A
nicotine	HINT1
nicotine	HTR3B
nicotine	SLC6A3
nicotine	OPRM1
nicotine	POR
nicotine	UGT2B10
clozapine_5-N-glucuronide	UGT1A4
mepolizumab	FIP1L1
mepolizumab	PDGFRA
antithymocyte_globulin	FCGR3A
calcidiol	CYP2R1
lamivudine	ABCC2
lamivudine	CYP2B6
lamivudine	DCK
lamivudine	CMPK1
lamivudine	ABCC1
lamivudine	NME1
lamivudine	NME2
lamivudine	CHPT1
lamivudine	ABCB1
lamivudine	NT5C
lamivudine	SLC22A1
lamivudine	SLC22A3
lamivudine	PCYT1A
lamivudine	SLC22A2
lamivudine	PCYT2
lamivudine	PGK1
lamivudine	HLA-B
lamivudine	ABCC3
lamivudine	ABCG2
lamivudine	ABCC4
fosamprenavir	CYP3A4
stavudine	CYP2B6
stavudine	SAMHD1
stavudine	HLA-B
stavudine	TNF
oliceridine	CYP2D6
Antiemetics_And_Antinauseants	SLC22A1
FOLFIRI	TYMS
perhexiline	CYP2D6
inotersen	TTR
bortezomib	CTLA4
clonazepam	CYP3A4
clonazepam	NAT2
acyclovir	NUDT15
17beta-estradiol_glucuronide	ABCC4
XK469	AOX1
chlorocresol	RYR1
direct_acting_antivirals	IFNL4
ravulizumab	CHRNA3
ravulizumab	CHRNA7
ravulizumab	AQP4
ravulizumab	CHRNA1
ravulizumab	CHRNA4
ravulizumab	CHRNA5
ravulizumab	CHRNA6
ravulizumab	CHRNB1
ravulizumab	CHRNE
omeprazole	CYP3A4
omeprazole	CYP3A5
omeprazole	AHR
omeprazole	ABCB1
omeprazole	CYP1A2
omeprazole	IL1B
omeprazole	NR1I2
omeprazole	SLC22A6
omeprazole	SLC22A8
PD-1/PDL-1_(Programmed_cell_death_protein_1/death_ligand_1)_inhibitors	IL7
leucovorin	ABCC2
leucovorin	DPYD
leucovorin	ERCC1
leucovorin	KLC1
leucovorin	ABCG1
leucovorin	MTHFR
leucovorin	ERCC2
leucovorin	GATA3
leucovorin	GSTP1
leucovorin	SLC19A1
leucovorin	RGS5
leucovorin	SELE
leucovorin	SHMT1
leucovorin	VEGFA
leucovorin	XRCC3
leucovorin	ABCG2
leucovorin	ABCC5
leucovorin	EGFR
donanemab	APOE
dabigatran	CES1
dabigatran	CYP3A5
toremifene	CYP2D6
toremifene	CYP3A4
toremifene	ESR1
toremifene	ESR2
glatiramer_acetate	CCR5
glatiramer_acetate	HLA-DRB1
phenylbutazone	NR1I2
farglitazar	SCNN1B
clopidogrel	CES1
clopidogrel	CYP2C8
clopidogrel	MED12L
clopidogrel	CES1P1
clopidogrel	WDR24
clopidogrel	KRTAP10-4
clopidogrel	P2RY12
clopidogrel	EFR3A
clopidogrel	JMJD8
clopidogrel	N6AMT1
clopidogrel	NECAB1
clopidogrel	PEAR1
clopidogrel	IRS1
clopidogrel	ITGA2
clopidogrel	ITGB3
clopidogrel	PTGS1
clopidogrel	B4GALT2
clopidogrel	NOS3
clopidogrel	TSPEAR
clopidogrel	AGAP3
clopidogrel	ABCB1
clopidogrel	CYP1A2
clopidogrel	CYP4F2
clopidogrel	ECHS1
clopidogrel	MYOM2
clopidogrel	ZDHHC3
mercaptopurine	SLCO1B1
mercaptopurine	MED4
mercaptopurine	C18orf56
mercaptopurine	NUDT15
mercaptopurine	DROSHA
mercaptopurine	FTO
mercaptopurine	MTHFR
mercaptopurine	CPT1A
mercaptopurine	FOLH1
mercaptopurine	GATA3
mercaptopurine	GNMT
mercaptopurine	GSTP1
mercaptopurine	IGHMBP2
mercaptopurine	ITPA
mercaptopurine	NT5C2
mercaptopurine	PACSIN2
mercaptopurine	SLC22A1
mercaptopurine	HLA-DQA1
mercaptopurine	HLA-DRB1
mercaptopurine	ABCC4
interferon_beta-1b	ZNF697
interferon_beta-1b	GAPVD1
interferon_beta-1b	CD58
interferon_beta-1b	FHIT
interferon_beta-1b	IRF6
interferon_beta-1b	HLA-DQA1
loperamide	ABCB1
disulfiram	ANKK1
disulfiram	DBH
disulfiram	MTHFR
disulfiram	ABCB1
disulfiram	DRD2
disulfiram	SLC6A3
disulfiram	SLC6A4
disulfiram	OPRD1
qt-prolonging_drugs	KCNE1
norfentanyl	CYP3A4
irbesartan	CYP2C9
irbesartan	EDN1
irbesartan	AGT
irbesartan	AGTR1
irbesartan	APOB
nirogacestat	APC
nirogacestat	CTNNB1
romidepsin	ABCB1
pembrolizumab	CD274
pembrolizumab	ALK
pembrolizumab	BRAF
pembrolizumab	ERBB2
pembrolizumab	EGFR
quinine	CYP2D6
quinine	CYP3A4
quinine	ABCB1
quinine	G6PD
diltiazem	CYP3A4
diltiazem	SLCO1B1
diltiazem	ABCB1
diltiazem	PLCD3
risperidone	COMT
risperidone	CYP2E1
risperidone	CCL2
risperidone	ANKK1
risperidone	RABEP1
risperidone	EIF2AK4
risperidone	HRH4
risperidone	PPA2
risperidone	SH2B1
risperidone	MSANTD1
risperidone	HTT
risperidone	HTR1A
risperidone	LEP
risperidone	AKT1
risperidone	CNR1
risperidone	ABCB1
risperidone	CYP1B1
risperidone	DRD3
risperidone	EPM2A
risperidone	FAAH
risperidone	GRID2
risperidone	GRIN2B
risperidone	GRM3
risperidone	GRM7
risperidone	HRH3
risperidone	MC4R
risperidone	RELN
risperidone	RGS4
risperidone	TJP1
risperidone	TNFRSF11A
risperidone	UGT1A10
risperidone	UGT1A3
risperidone	UGT1A5
risperidone	UGT1A6
risperidone	UGT1A7
risperidone	UGT1A8
risperidone	NR1I2
risperidone	ADRB2
risperidone	UGT1A9
risperidone	UGT1A1
lusutrombopag	F2
lusutrombopag	F5
lusutrombopag	PROC
lusutrombopag	PROS1
lusutrombopag	SERPINC1
eszopiclone	CYP3A5
interferons	IFNL3
interferons	IFNL4
interferons	BCL2
interferons	IL18
interferons	STAT3
interferons	HLA-B
nnk	CYP2A13
efavirenz_/_emtricitabine_/_tenofovir_disoproxil	CYP2B6
cysteamine	CFTR
olezarsen	LPL
geldanamycin	EGFR
meperidine	CYP2B6
meperidine	CYP3A5
meperidine	FIP1L1
meperidine	SERINC5
tolbutamide	CYP2C19
tolbutamide	G6PD
fosdenopterin	MOCS1
hydralazine	HLA-DRB1
protriptyline	CYP2D6
mesoridazine	CYP2J2
Pyrazolones	PLA2G4A
Pyrazolones	PLCG1
Pyrazolones	TNFRSF11A
acetazolamide	HLA-B
colchicine	CYP2D6
colchicine	ABCB1
trametinib	BRAF
trametinib	G6PD
trametinib	HRAS
trametinib	KRAS
trametinib	NRAS
Antihypertensives_And_Diuretics_In_Combination	NOS3
Pertussis_vaccines	TLR4
bleomycin	CYP3A4
bleomycin	ERCC1
bleomycin	GSTM1
bleomycin	BLMH
bleomycin	ABCB1
bleomycin	ERCC2
bleomycin	GSTP1
nusinersen	SMN2
palonosetron	CYP2D6
palonosetron	ERCC1
cyclophosphamide	ABCC2
cyclophosphamide	CYP2B6
cyclophosphamide	CYP2C9
cyclophosphamide	CYP2E1
cyclophosphamide	CYP3A4
cyclophosphamide	CYP3A5
cyclophosphamide	SLCO1B1
cyclophosphamide	SLC22A16
cyclophosphamide	PERP
cyclophosphamide	GNL3
cyclophosphamide	DROSHA
cyclophosphamide	ERCC1
cyclophosphamide	TP53AIP1
cyclophosphamide	LINC00251
cyclophosphamide	NAT2
cyclophosphamide	GSTM1
cyclophosphamide	GSTT1
cyclophosphamide	INSR
cyclophosphamide	IRS1
cyclophosphamide	ADH1C
cyclophosphamide	ALDH1A1
cyclophosphamide	ALDH3A1
cyclophosphamide	NOS1
cyclophosphamide	BMP7
cyclophosphamide	NOS3
cyclophosphamide	DOK5
cyclophosphamide	CBR1
cyclophosphamide	CBR3
cyclophosphamide	CCNK
cyclophosphamide	CPT1A
cyclophosphamide	CTH
cyclophosphamide	CTNNB1
cyclophosphamide	CYP1B1
cyclophosphamide	CYP2A7P1
cyclophosphamide	EPHX1
cyclophosphamide	FGFR4
cyclophosphamide	FOXO1
cyclophosphamide	GATA3
cyclophosphamide	GSTA1
cyclophosphamide	GSTP1
cyclophosphamide	HMMR
cyclophosphamide	IGHMBP2
cyclophosphamide	LIG3
cyclophosphamide	MUTYH
cyclophosphamide	NQO1
cyclophosphamide	NQO2
cyclophosphamide	PIGB
cyclophosphamide	PIK3R2
cyclophosphamide	PPP2R5D
cyclophosphamide	RAD52
cyclophosphamide	RBX1
cyclophosphamide	TOP2A
cyclophosphamide	TPMT
cyclophosphamide	CXCL12
cyclophosphamide	SOD2
cyclophosphamide	TP53
cyclophosphamide	XRCC1
cyclophosphamide	VEGFA
cyclophosphamide	ABCC3
cyclophosphamide	NR1I2
cyclophosphamide	PNPLA3
cyclophosphamide	ABCG2
cyclophosphamide	ABCC4
cyclophosphamide	ATM
elacestrant	ESR1
elacestrant	ERBB2
belzutifan	CYP2C19
belzutifan	UGT2B17
belzutifan	VHL
vemurafenib	CYP3A4
vemurafenib	BRAF
vemurafenib	ABCB1
vemurafenib	CYP1A2
vemurafenib	HRAS
vemurafenib	KRAS
vemurafenib	NRAS
methylprednisolone	SERPINE1
methylprednisolone	ABCB1
trimipramine	CYP2C19
trimipramine	CYP2C9
trimipramine	CYP2D6
pirtobrutinib	BTK
pirtobrutinib	IGH
pirtobrutinib	TP53
evinacumab	LDLR
cyproterone	NR1I2
sulindac	FMO3
tacrolimus	ABCC2
tacrolimus	CYP3A7
tacrolimus	CYP2C8
tacrolimus	ZSCAN25
tacrolimus	SUMO4
tacrolimus	CRTC2
tacrolimus	FOXP3
tacrolimus	KCNJ11
tacrolimus	KCNQ1
tacrolimus	C6
tacrolimus	CAPN10
tacrolimus	NOD2
tacrolimus	CTLA4
tacrolimus	CYP2J2
tacrolimus	PPARA
tacrolimus	HSD11B1
tacrolimus	IL10
tacrolimus	IL18
tacrolimus	IL3
tacrolimus	POR
tacrolimus	TCF7L2
tacrolimus	TLR4
tacrolimus	UGT1A8
micronomicin	MT-ND1
micronomicin	MT-RNR1
hydroxybupropion	CYP2B6
hydroxybupropion	CYP2C19
hdl_cholesterol	CYP19A1
clozapine	COMT
clozapine	CYP2C19
clozapine	CYP3A4
clozapine	RABEP1
clozapine	SH2B1
clozapine	DRD1
clozapine	GSTM1
clozapine	GSTT1
clozapine	HTR1A
clozapine	HTR2A
clozapine	HTR2C
clozapine	MTHFR
clozapine	C3
clozapine	CNR1
clozapine	ABCB1
clozapine	CYP1A2
clozapine	DRD2
clozapine	DRD3
clozapine	DTNBP1
clozapine	EPM2A
clozapine	FAAH
clozapine	FKBP5
clozapine	GCG
clozapine	GLP1R
clozapine	GRIN2B
clozapine	HTR3A
clozapine	ITIH3
clozapine	MC4R
clozapine	SLC6A3
clozapine	SLC6A4
clozapine	NFIB
clozapine	NQO2
clozapine	NTRK2
clozapine	HLA-B
clozapine	HLA-C
clozapine	HLA-DPB1
clozapine	HLA-DRB3
clozapine	HLA-DRB5
clozapine	TBC1D1
clozapine	UGT1A1
propoxyphene	CYP3A5
deleobuvir	IFNL3
deleobuvir	IFNL4
ethosuximide	CYP3A4
ethosuximide	SCN1A
dextromethorphan	CYP3A4
dextromethorphan	PHETA2
dextromethorphan	SMDT1
dextromethorphan	SEPTIN3
umeclidinium_/_vilanterol	CYP2D6
Antibiotics	KCNE1
Antibiotics	LGALS3
faldaprevir	IFNL3
faldaprevir	IFNL4
mycophenolate_mofetil	CES1
mycophenolate_mofetil	ABCC2
mycophenolate_mofetil	CYP2C8
mycophenolate_mofetil	SLCO1B1
mycophenolate_mofetil	ABCB1
mycophenolate_mofetil	IL10
mycophenolate_mofetil	IL12A
mycophenolate_mofetil	IMPDH1
mycophenolate_mofetil	IMPDH2
mycophenolate_mofetil	SLCO1B3
mycophenolate_mofetil	UGT2B7
mycophenolate_mofetil	UGT1A7
mycophenolate_mofetil	UGT1A8
mycophenolate_mofetil	CES2
mycophenolate_mofetil	UGT1A9
mycophenolate_mofetil	TNF
caffeine	CYP2A6
caffeine	NAT2
caffeine	ADORA2A
caffeine	RYR1
caffeine	CACNA1S
ledipasvir_/_sofosbuvir	IFNL3
leniolisib	PIK3CD
leniolisib	PIK3R1
cobimetinib	BRAF
lopinavir	ABCC2
lopinavir	CYP3A4
lopinavir	CYP3A5
lopinavir	SLCO1B1
lopinavir	ZSCAN25
lopinavir	ABCC1
azacitidine	CBL
azacitidine	KRAS
azacitidine	NRAS
azacitidine	PTPN11
azacitidine	TYMS
azacitidine	CDA
genistein	CFTR
ampicillin	NR1I2
arimoclomol	NPC1
arimoclomol	NPC2
alemtuzumab	CXCL12
voxelotor	HBB
piroxicam	CYP2C9
flunitrazepam	CYP2C19
flunitrazepam	CYP3A4
flunitrazepam	GABRG1
ponatinib	ABL1
ponatinib	BCR
tetracycline	ABCB1
tetracycline	NR1I2
phenazopyridine	G6PD
vitamin_d_and_analogues	REN
vitamin_d_and_analogues	UGT1A3
vitamin_d_and_analogues	UGT1A4
vitamin_d_and_analogues	VDR
simeprevir	IFNL3
simeprevir	IFNL4
fluorouracil	ABCC2
fluorouracil	CYP2A6
fluorouracil	CYP2C19
fluorouracil	CYP2C8
fluorouracil	SLCO1B1
fluorouracil	SLC22A16
fluorouracil	GALNT14
fluorouracil	PERP
fluorouracil	GNL3
fluorouracil	C18orf56
fluorouracil	MEGF11
fluorouracil	DPYS
fluorouracil	ERCC1
fluorouracil	KLC1
fluorouracil	PARD3B
fluorouracil	TMEM167A
fluorouracil	TYMP
fluorouracil	MIR27A
fluorouracil	TP53AIP1
fluorouracil	APEX1
fluorouracil	INSR
fluorouracil	IRS1
fluorouracil	ABCC11
fluorouracil	ABCG1
fluorouracil	MTHFR
fluorouracil	ALDH3A1
fluorouracil	NOS1
fluorouracil	NOS3
fluorouracil	CBR1
fluorouracil	CBR3
fluorouracil	CCNK
fluorouracil	CHN2
fluorouracil	CYP19A1
fluorouracil	CYP1B1
fluorouracil	DLG5
fluorouracil	ERCC2
fluorouracil	EXO1
fluorouracil	FGFR4
fluorouracil	FOXO1
fluorouracil	LGR5
fluorouracil	GSTP1
fluorouracil	HMMR
fluorouracil	IGFBP3
fluorouracil	MUTYH
fluorouracil	NQO1
fluorouracil	NT5C1A
fluorouracil	SLC19A1
fluorouracil	OSGEP
fluorouracil	PIGB
fluorouracil	PIK3R2
fluorouracil	PON1
fluorouracil	PPARD
fluorouracil	PPP2R5D
fluorouracil	PTEN
fluorouracil	RBX1
fluorouracil	REV3L
fluorouracil	RGS5
fluorouracil	HLA-G
fluorouracil	TOP2A
fluorouracil	SELE
fluorouracil	SHMT1
fluorouracil	UMPS
fluorouracil	TP53
fluorouracil	XRCC1
fluorouracil	TWIST1
fluorouracil	VEGFA
fluorouracil	XRCC3
fluorouracil	XRCC4
fluorouracil	WNT5B
fluorouracil	ABCG2
fluorouracil	ABCC5
fluorouracil	ABCC4
fluorouracil	ATM
fluorouracil	EGFR
fluorouracil	CCND1
cimetidine	CYP2C19
cimetidine	ABCB1
roflumilast	CFTR
mivacurium	BCHE
imipramine	CYP3A4
imipramine	CYP1A2
phenazepam	CYP2C19
axitinib	FLT1
axitinib	HIF1A
axitinib	KDR
eteplirsen	DMD
desoxycortone	CYP2C19
rifampin	CYP2B6
rifampin	CYP2C19
rifampin	CYP2C9
rifampin	CYP3A4
rifampin	CYP3A5
rifampin	AGBL4
rifampin	CUX2
rifampin	RIPOR2
rifampin	NOS2
rifampin	NAT2
rifampin	AADAC
rifampin	ABCB1
rifampin	GSTP1
rifampin	NR1I2
rifampin	TNF
methysergide	HTR1B
pravastatin	CETP
pravastatin	ABCC2
pravastatin	CYP3A4
pravastatin	CYP3A5
pravastatin	RHOA
pravastatin	KIF6
pravastatin	ACE
pravastatin	MTTP
pravastatin	HMGCR
pravastatin	LDLR
pravastatin	LIPC
pravastatin	LPL
pravastatin	ABCA1
pravastatin	MTHFR
pravastatin	ADAMTS1
pravastatin	ABCB1
pravastatin	HTR3B
pravastatin	HTR7
pravastatin	IL1B
pravastatin	MMP3
pravastatin	NPC1L1
pravastatin	HLA-DRB1
pravastatin	SLCO1B3
pravastatin	TLR4
pravastatin	ABCG2
pravastatin	APOE
sofosbuvir_/_velpatasvir	IFNL3
nitroprusside	ACE
grepafloxacin	KCNH2
ezetimibe_/_simvastatin	SLCO1B1
ribavirin	IFNL3
ribavirin	CYP2R1
ribavirin	FTO
ribavirin	SLC29A1
ribavirin	IL6
ribavirin	LDLR
ribavirin	BCL2
ribavirin	CYP27B1
ribavirin	IL18
ribavirin	ITPA
ribavirin	MICB
ribavirin	SLC6A4
ribavirin	OASL
ribavirin	HLA-A
ribavirin	HLA-B
ribavirin	HLA-C
ribavirin	VDR
ribavirin	SLC28A2
ribavirin	EGFR
ribavirin	SCARB1
telmisartan	GNB3
telmisartan	SLCO1B3
telmisartan	UGT1A3
telmisartan	ABCG2
Antihypertensives	CLNK
Antihypertensives	GRK5
Antihypertensives	ATP2B1
Antihypertensives	NOS3
Antihypertensives	PTPRD
nicorandil	G6PD
bisoprolol	ACY3
bisoprolol	GRK5
bisoprolol	GRK4
bisoprolol	ADRA2C
bisoprolol	ADRB1
11alpha-hydroxytestosterone	CYP2C19
zolpidem	CYP3A4
zolpidem	CYP3A5
nafcillin	NR1I2
trastuzumab_emtansine	ERBB2
exemestane	ESR1
exemestane	AKR1C3
exemestane	AKR1C4
exemestane	PGR
exemestane	CYP19A1
exemestane	ESR2
exemestane	MAP4K4
exemestane	TUBB1
margetuximab	ERBB2
margetuximab	FCGR2A
margetuximab	FCGR2B
margetuximab	FCGR3A
cyclosporine	CRTC2
cyclosporine	CALM1
cyclosporine	ABCB1
cyclosporine	CTLA4
cyclosporine	IL10
cyclosporine	IMPDH2
cyclosporine	POR
cyclosporine	TPMT
cyclosporine	TCF7L2
cyclosporine	UGT1A8
cyclosporine	NR1I2
cyclosporine	ABCG2
cyclosporine	TNF
sertindole	CYP2D6
sertindole	CYP3A4
sertindole	KCNH2
fructose	KHK
pegaptanib	VEGFA
thioridazine	CYP2D6
thioridazine	KCNH2
thioridazine	CYP2J2
lacosamide	CYP2C19
velaglucerase_alfa	GBA
valganciclovir	ABCB1
valganciclovir	ABCC4
zonisamide	CYP3A4
zonisamide	CA12
zonisamide	HLA-A
Arsenic_compounds	SLCO1B1
pyrimethamine	GSTP1
pyrimethamine	IKBKG
brentuximab_vedotin	ALK
brentuximab_vedotin	TNFRSF8
flutamide	CYP3A4
flutamide	G6PD
flutamide	NR1I2
melphalan	ABCB1
melphalan	CTLA4
melphalan	SLC7A5
trichloroethylene	HLA-B
sotalol	GRK5
sotalol	KCNE1
sotalol	GRK4
sotalol	ADRA2C
sotalol	ADRB1
sotalol	ADRB2
niraparib	BRCA1
niraparib	BRCA2
R-EDDP	CYP2B6
flupirtine	HLA-DQB1
flupirtine	HLA-DRB1
sevoflurane	CYP2E1
sevoflurane	CYP3A4
sevoflurane	FASTKD3
sevoflurane	ABCB1
sevoflurane	DUX1
sevoflurane	GABRA2
sevoflurane	GRIN2B
sevoflurane	GSTP1
sevoflurane	KCNK2
sevoflurane	KCNK3
sevoflurane	MTRR
sevoflurane	RYR1
sevoflurane	ADRB2
sevoflurane	CACNA1S
xenobiotics	GSTT1
xenobiotics	CYP1A2
xenobiotics	NR1I2
xenobiotics	ADRB1
aripiprazole	ANKK1
aripiprazole	TAAR6
aripiprazole	RABEP1
aripiprazole	SH2B1
aripiprazole	ABCB1
aripiprazole	FAAH
aripiprazole	MC4R
aripiprazole	RELN
urea_derivatives_sulfonamides	CYP2C19
urea_derivatives_sulfonamides	CYP2C9
urea_derivatives_sulfonamides	ABCC8
urea_derivatives_sulfonamides	TCF7L2
norepinephrine	COMT
norepinephrine	ADRA1D
norepinephrine	ADRA1B
norepinephrine	ADRA1A
norepinephrine	ADRA2A
norepinephrine	ADRA2B
norepinephrine	ADRA2C
norepinephrine	ADRB1
hydromorphone	COMT
hydromorphone	CYP2D6
hydromorphone	CYP3A5
hydromorphone	OPRM1
trifluoperazine	EPM2A
dulaglutide	SLCO1B1
artesunate	CYP2A6
artesunate	G6PD
artesunate	IKBKG
lisinopril	MMP3
lisinopril	AGT
lisinopril	BDKRB2
levofloxacin	ABCB1
Anticholinergics	SLC22A1
Dihydropyridine_derivatives	NOS1AP
Methyldopa	COMT
olanzapine	COMT
olanzapine	ANKK1
olanzapine	RABEP1
olanzapine	SV2C
olanzapine	EIF2AK4
olanzapine	SH2B1
olanzapine	SPOPL
olanzapine	FMO1
olanzapine	FMO3
olanzapine	GNB3
olanzapine	HTR1A
olanzapine	LEP
olanzapine	MTHFR
olanzapine	ADRB3
olanzapine	AHR
olanzapine	CHAT
olanzapine	CNR1
olanzapine	ABCB1
olanzapine	CYP1A1
olanzapine	DRD3
olanzapine	EPM2A
olanzapine	FAAH
olanzapine	PPARG
olanzapine	GCG
olanzapine	GIPR
olanzapine	GLP1R
olanzapine	GSTM3
olanzapine	IL1A
olanzapine	MC4R
olanzapine	ATP1A2
olanzapine	BDNF
olanzapine	SLC22A1
olanzapine	PMCH
olanzapine	RELN
olanzapine	RGS4
olanzapine	TPMT
olanzapine	TBC1D1
olanzapine	CYP3A43
olanzapine	APOC3
paromomycin	MT-RNR1
phenothiazines_with_aliphatic_side-chain	ABCB1
dextroamphetamine	DRD1
nedosiran	AGXT
pegaspargase	ARHGAP28
pegaspargase	LINC00251
pegaspargase	BMP7
pegaspargase	DOK5
pegaspargase	CPT1A
pegaspargase	GATA3
pegaspargase	IGHMBP2
pegaspargase	HLA-DQA1
pegaspargase	HLA-DQB1
pegaspargase	HLA-DRB1
calcein	ABCC2
voriconazole	ABCB1
voriconazole	SLCO2B1
acetylcysteine	TOLLIP
acetylcysteine	EPHX1
sitagliptin	GLP1R
anthracyclines_and_related_substances	CYP2D6
anthracyclines_and_related_substances	ECT2L
anthracyclines_and_related_substances	FMO3
anthracyclines_and_related_substances	GSTM1
anthracyclines_and_related_substances	HNMT
anthracyclines_and_related_substances	ABCC1
anthracyclines_and_related_substances	ADH7
anthracyclines_and_related_substances	NOS3
anthracyclines_and_related_substances	CAT
anthracyclines_and_related_substances	CBR1
anthracyclines_and_related_substances	CBR3
anthracyclines_and_related_substances	ABCB1
anthracyclines_and_related_substances	ABCB4
anthracyclines_and_related_substances	CYP4F2
anthracyclines_and_related_substances	HAS3
anthracyclines_and_related_substances	SLC10A2
anthracyclines_and_related_substances	SLC22A2
anthracyclines_and_related_substances	RARG
anthracyclines_and_related_substances	SPG7
anthracyclines_and_related_substances	SULT2B1
anthracyclines_and_related_substances	UGT1A6
anthracyclines_and_related_substances	SLC28A1
anthracyclines_and_related_substances	ABCG2
anthracyclines_and_related_substances	SLC28A3
tadalafil	CYP3A5
16alpha-hydroxytestosterone	CYP2C19
lorazepam	SLCO1B1
lorazepam	UGT2B15
glipizide	NOS1AP
