Effect_subcat;Entity_Affected
SIDE_EFFECT:CORONARY_DISEASE;
PK:PLASMA_CONCENTRATION;DISEASE:HIV_INFECTIOUS_DISEASE
SIDE_EFFECT:BLEEDING_COMPLICATIONS;DISEASE:ACUTE_CORONARY_SYNDROME
DISEASE:TOBACCO_USE_DISORDER;OTHER:SMOKERS
EFFICACY:_RATE_OF_HYPER-RESPONSE_AT_1_MONTH_OF_TREATMENT;DISEASE:ACUTE_CORONARY_SYNDROME
DISEASE:WEIGHT_GAIN;DISEASE:SCHIZOPHRENIA
PK:MITOTANE_PLASMA_CONCENTRATIONS;DISEASE:ADRENOCORTICAL_CARCINOMA
DISEASE:TOBACCO_USE_DISORDER;OTHER:SMOKERS
EFFICACY:EFFICACY;DISEASE:DIABETES_MELLITUS_T2
SIDE_EFFECT:HYPERBILIRUBINEMIA;DISEASE:HIV_INFECTIOUS_DISEASE
EFFICACY:OVERALL_SURVIVAL;DISEASE:BREAST_NEOPLASMS
OTHER:PROTECTION_FROM_PLASMODIUM_VIVAX_MALARIA_INFECTION;
DISEASE:TRANSPLANT_REJECTION;DISEASE:KIDNEY_TRANSPLANTATION
SIDE_EFFECT:HYPERBILIRUBINEMIA;DISEASE:HIV_INFECTIOUS_DISEASE
SIDE_EFFECT:DIARRHEA, SIDE_EFFECT:EXANTHEMA;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
DISEASE:LEUKOPENIA;DISEASE:KIDNEY_TRANSPLANTATION
SIDE_EFFECT:HYPERBILIRUBINEMIA;DISEASE:HIV_INFECTIOUS_DISEASE
EFFICACY:OVERALL_SURVIVAL, EFFICACY:PROGRESSION-FREE_SURVIVAL;DISEASE:COLORECTAL_NEOPLASMS
EFFICACY:NAUSEA, EFFICACY:VOMITING;OTHER:NEOPLASMS
SIDE_EFFECT:HYPERBILIRUBINEMIA;DISEASE:HIV_INFECTIOUS_DISEASE
EFFICACY:OVERALL_SURVIVAL;DISEASE:BREAST_NEOPLASMS
EFFICACY:NAUSEA, EFFICACY:VOMITING;OTHER:NEOPLASMS
EFFICACY:NAUSEA, EFFICACY:VOMITING;OTHER:NEOPLASMS
EFFICACY:RECURRENCE;OTHER:MALARIA_VIVAX
SIDE_EFFECT:BONE_MARROW_TOXICITY;DISEASE:RHEUMATOID_ARTHRITIS
OTHER:SYSTOLIC_(SAP)_AND_DIASTOLIC_(DAP)_ARTERIAL_PRESSURE_RESPONSES_TO_TIMOLOL;
DISEASE:OTOTOXICITY;DISEASE:NEOPLASMS
SIDE_EFFECT:ADVERSE_EVENTS;OTHER:ALCOHOL_ABUSE
SIDE_EFFECT:HYPOTENSIVE_DISORDER;
EFFICACY:HYPERCHOLESTEROLEMIA;
DISEASE:DIABETES_MELLITUS, TYPE_2;
SIDE_EFFECT:HYPONATREMIA;DISEASE:HYPERTENSION
EFFICACY:HYPERCHOLESTEROLEMIA;
EFFICACY:INTERNATIONAL_NORMALIZED_RATIO_VARIABILITY_(INR-VAR);
DISEASE:OTOTOXICITY;DISEASE:MEDULLOBLASTOMA
EFFICACY:TIME_IN_THERAPEUTIC_RANGE;
SIDE_EFFECT:ADVERSE_EVENTS;OTHER:ATTENTION_DEFICIT_DISORDER_WITH_HYPERACTIVITY, OTHER:FETAL_ALCOHOL_SYNDROME
EFFICACY:DRUG_RESISTANCE;DISEASE:EPILEPSY
EFFICACY:INTERNATIONAL_NORMALIZED_RATIO_VARIABILITY_(INR-VAR);
SIDE_EFFECT:HEMORRHAGE;
OTHER:PROTECTION_AGAINST_SEVERE_(P=0.006)_AND_MILD_MALARIA_(P=0.027);
SIDE_EFFECT:AGRANULOCYTOSIS;OTHER:GRAVES_DISEASE
EFFICACY:OVERALL_SURVIVAL, EFFICACY:PROGRESSION-FREE_SURVIVAL;DISEASE:COLORECTAL_NEOPLASMS
SIDE_EFFECT:DIARRHEA, SIDE_EFFECT:MUCOSITIS, SIDE_EFFECT:NEUTROPENIA;DISEASE:COLORECTAL_NEOPLASMS
OTHER:SAME_PROTECTIVE_PROPERTIES_AGAINST_ANGIOTENSIN-CONVERTING_ENZYME_INHIBITORS-INDUCED_COUGH;OTHER:HOMOZYGOUS_GG_GENOTYPE_FOR_RS4343
OTHER:SAME_PROTECTIVE_PROPERTIES_AGAINST_ANGIOTENSIN-CONVERTING_ENZYME_INHIBITORS-INDUCED_COUGH;OTHER:HOMOZYGOUS_GG_GENOTYPE_FOR_RS4343
OTHER:PROTECTION_AGAINST_DEVELOPING_SEVERE_MALARIA;DISEASE:MALARIA
DISEASE:ALOPECIA;DISEASE:RHEUMATOID_ARTHRITIS
DISEASE:COUGH;
OTHER:RECURRENT_PREGCY_LOSS;
EFFICACY:OVERALL_SURVIVAL;DISEASE:OVARIAN_NEOPLASMS
OTHER:RECURRENT_PREGCY_LOSS;
EFFICACY:OVERALL_SURVIVAL;DISEASE:OVARIAN_NEOPLASMS
OTHER:RECURRENT_PREGCY_LOSS;
EFFICACY:OVERALL_SURVIVAL;DISEASE:OVARIAN_NEOPLASMS
OTHER:RECURRENT_PREGCY_LOSS;
EFFICACY:PROGRESSION-FREE_SURVIVAL;DISEASE:OVARIAN_NEOPLASMS
EFFICACY:INTERNATIONAL_NORMALIZED_RATIO_VARIABILITY_(INR-VAR);
SIDE_EFFECT:ASPIRIN_HYPERSENSITIVITY;DISEASE:ASTHMA
SIDE_EFFECT:NEPHROTOXICITY;DISEASE:KIDNEY_TRANSPLANTATION
EFFICACY:PROGRESSION-FREE_SURVIVAL;DISEASE:OVARIAN_NEOPLASMS
EFFICACY:MEAN_INR_DURING_3-MONTH_DAILY_OBSERVATION_PERIOD_IN_PATIENTS_WITH_MECHANICAL_HEART_VALVE_REPLACEMENT;
OTHER:ASPIRIN-INTOLERANT_ASTHMA;DISEASE:ASTHMA
EFFICACY:NUMBER_OF_EXAMINATIONS_ABOVE_THE_THERAPEUTIC_RANGE_DURING_3-MONTH_DAILY_OBSERVATION_PERIOD_IN_PATIENTS_WITH_MECHANICAL_HEART_VALVE_REPLACEMENT;
SIDE_EFFECT:ASPIRIN-INTOLERANT_ASTHMA;DISEASE:ASTHMA
OTHER:ASPIRIN-INTOLERANT_ASTHMA;DISEASE:ASTHMA
EFFICACY:TIME_TO_THERAPEUTIC_INR>=2;
OTHER:ASPIRIN-INTOLERANT_ASTHMA;DISEASE:ASTHMA
OTHER:ASPIRIN-INTOLERANT_ASTHMA;DISEASE:ASTHMA
SIDE_EFFECT:PERIPHERAL_NERVOUS_SYSTEM_DISEASES;DISEASE:BREAST_NEOPLASMS
SIDE_EFFECT:NAUSEA, SIDE_EFFECT:VOMITING;OTHER:BREAST_NEOPLASMS
OTHER:STABLE_WARFARIN_DOSE;
EFFICACY:_VASP_INDEX;DISEASE:ACUTE_CORONARY_SYNDROME
SIDE_EFFECT:DECLINE_IN_FEV_1_AFTER_ASPIRIN_PROVOCATION;DISEASE:ASTHMA
EFFICACY:HIGH_POST-CLOPIDOGREL_PLATELET_REACTIVITY;OTHER:UNDERGOING_SCHEDULED_PERCUTANEOUS_CORONARY_INTERVENTION
EFFICACY:MAJOR_ADVERSE_CARDIAC_EVENTS_(MACE);OTHER:ACUTE_CORONARY_SYNDROME
EFFICACY:HIGH_POST-CLOPIDOGREL_PLATELET_REACTIVITY;OTHER:UNDERGOING_SCHEDULED_PERCUTANEOUS_CORONARY_INTERVENTION
SIDE_EFFECT:ATHEROTHROMBOTIC_EVENTS_DURING_THE_6-YEAR_FOLLOW_UP_IN_PATIENTS_WITH_MECHANICAL_HEART_VALVE_REPLACEMENT;
SIDE_EFFECT:BLOOD_COAGULATION_DISORDERS;
EFFICACY:MAJOR_ADVERSE_CARDIAC_EVENTS_(MACE);OTHER:ACUTE_CORONARY_SYNDROME
SIDE_EFFECT:PERIPHERAL_NERVOUS_SYSTEM_DISEASES;DISEASE:BREAST_NEOPLASMS
SIDE_EFFECT:HEMATOLOGIC_TOXICITY;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
OTHER:WARFARIN_DOSE_DURING_3-MONTH_DAILY_OBSERVATION_PERIOD_IN_PATIENTS_WITH_MECHANICAL_HEART_VALVE_REPLACEMENT;
SIDE_EFFECT:BLOOD_COAGULATION_DISORDERS;
PK:ELIMINATION_CLEARANCE_OF_DFDU_AND_FORMATION_CLEARANCE_OF_DFDCTP;DISEASE:NEOPLASMS
SIDE_EFFECT:PERIPHERAL_NERVOUS_SYSTEM_DISEASES;OTHER:BREAST_NEOPLASMS
DISEASE:CORONARY_ARTERY_DISEASE;
DISEASE:CORONARY_ARTERY_DISEASE;
EFFICACY:SURVIVAL;DISEASE:ACUTE_MYELOID_LEUKEMIA
EFFICACY:POORER_REDUCTION_IN_LOW-DENSITY_LIPOPROTEIN_CHOLESTEROL_(LDLC);
SIDE_EFFECT:DRUG-INDUCED_LIVER_INJURY;OTHER:TUBERCULOSIS
EFFICACY:POORER_REDUCTION_IN_LOW-DENSITY_LIPOPROTEIN_CHOLESTEROL_(LDLC);
EFFICACY:PERCENT_REDUCTION_IN_LDL-CHOLESTEROL;DISEASE:ACUTE_CORONARY_SYNDROME
PK:FORMATION_CLEARANCE_OF_DFDCTP;DISEASE:NEOPLASMS
EFFICACY:MAJOR_ADVERSE_CARDIAC_EVENTS_(MACE);OTHER:ACUTE_CORONARY_SYNDROME
PK:ELIMINATION_CLEARANCE_OF_DFDU;DISEASE:NEOPLASMS
OTHER:BIOCHEMICAL_RESPONSE, OPTIMAL_CYTOREDUCTION, AND_SENSITIVITY_TO_THE_INDUCTION_CHEMOTHERAPY_TREATMENT;DISEASE:OVARIAN_NEOPLASMS
SIDE_EFFECT:SLEEP_DISORDERS;OTHER:TOBACCO_USE_DISORDER, OTHER:SMOKING_CESSATION
SIDE_EFFECT:ADVERSE_EVENTS;OTHER:PSORIASIS
OTHER:SENSITIVITY_IN_VITRO;
DISEASE:DRUG_TOXICITY;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
EFFICACY:SURVIVAL;DISEASE:ACUTE_MYELOID_LEUKEMIA
SIDE_EFFECT:DRUG-INDUCED_LIVER_INJURY;OTHER:TUBERCULOSIS
SIDE_EFFECT:STEVENS-JOHNSON_SYNDROME/EPIDERMAL_NECROLYSIS, TOXIC;DISEASE:HIV_INFECTIOUS_DISEASE
OTHER:ALL-CAUSE_MORTALITY;DISEASE:ACUTE_CORONARY_SYNDROME
SIDE_EFFECT:AGRANULOCYTOSIS, SIDE_EFFECT:NEUTROPENIA;
SIDE_EFFECT:MEAN_CUMULATIVE_DOSES_OF_ISONIAZID_BEFORE_THE_DEVELOPMENT_OF_ABNORMAL_LIVER-FUNCTION_TESTS_(ALFTS);DISEASE:TUBERCULOSIS
EFFICACY:DISEASE_ACTIVITY;DISEASE:RHEUMATOID_ARTHRITIS
SIDE_EFFECT:MEAN_CUMULATIVE_DOSES_OF_ISONIAZID_BEFORE_THE_DEVELOPMENT_OF_ANTITUBERCULOSIS_DRUG-INDUCED_HEPATOTOXICITY_(ATDIH);DISEASE:TUBERCULOSIS
SIDE_EFFECT:HYPERLIPIDEMIAS;OTHER:HIV_INFECTIOUS_DISEASE
EFFICACY:IMPROVED_ASTHMA_CONTROL_(AS_MEASURED_BY_DECREASE_IN_AVERAGE_ASTHMA_CONTROL_SCORE);DISEASE:ASTHMA
SIDE_EFFECT:SEVERE_CUTANEOUS_ADVERSE_REACTIONS;
SIDE_EFFECT:MUSCULOSKELETAL_PAIN, SIDE_EFFECT:ARTHRITIS, OTHER:DISCONTINUATION;OTHER:BREAST_NEOPLASMS
SIDE_EFFECT:MAJOR_CARDIOVASCULAR_EVENTS_(MACE)_RATE;DISEASE:CORONARY_ARTERY_DISEASE
EFFICACY:EVENT-FREE_SURVIVAL, EFFICACY:OVERALL_SURVIVAL;DISEASE:ACUTE_MYELOID_LEUKEMIA
PK:TROUGH_BLOOD_CONCENTRATION_NORMALIZED_FOR_THE_DAILY_DOSE_(C)_PER_KILOGRAM_BODY_WEIGHT_(D)_(C/D, NG/ML/MG/KG/DAY)_RATIO_DURING_THE_FIRST_MONTH_AFTER_TRANSPLANTATION;
SIDE_EFFECT:DELAYED_GRAFT_FUNCTION;DISEASE:KIDNEY_TRANSPLANTATION
SIDE_EFFECT:SEVERE_CUTANEOUS_ADVERSE_REACTIONS;
SIDE_EFFECT:ADVERSE_EVENTS;OTHER:PSORIASIS
DISEASE:SCHIZOPHRENIA;
SIDE_EFFECT:HYPERLIPIDEMIAS;OTHER:HIV_INFECTIOUS_DISEASE
EFFICACY:PROGRESSION-FREE_SURVIVAL;DISEASE:COLORECTAL_NEOPLASMS
SIDE_EFFECT:RENAL_FUNCTION_(LOWER_CREATININE_CLEARANCE)_AT_3_MONTHS_OF_FOLLOW-UP;DISEASE:KIDNEY_TRANSPLANTATION
PK:CL_RENAL_REFERENCE_AND_LOWER_AND_CL_SEC_REFERENCE;
SIDE_EFFECT:SEVERE_CUTANEOUS_ADVERSE_REACTIONS;
SIDE_EFFECT:DELAYED_GRAFT_FUNCTION;DISEASE:KIDNEY_TRANSPLANTATION
SIDE_EFFECT:DRUG_TOXICITY;OTHER:PSORIASIS
SIDE_EFFECT:SEVERE_CUTANEOUS_ADVERSE_REACTIONS;
DISEASE:TOXIC_LIVER_DISEASE;DISEASE:TUBERCULOSIS
SIDE_EFFECT:MUSCULOSKELETAL_PAIN, SIDE_EFFECT:ARTHRITIS, OTHER:DISCONTINUATION;OTHER:BREAST_NEOPLASMS
SIDE_EFFECT:HYPERLIPIDEMIAS;OTHER:HIV_INFECTIOUS_DISEASE
SIDE_EFFECT:TOXIC_LIVER_DISEASE;
EFFICACY:COMPLETE_RESPONSE;DISEASE:OVARIAN_NEOPLASMS
SIDE_EFFECT:MUSCULOSKELETAL_PAIN, SIDE_EFFECT:ARTHRITIS, OTHER:DISCONTINUATION;OTHER:BREAST_NEOPLASMS
EFFICACY:OVERALL_SURVIVAL;DISEASE:COLORECTAL_NEOPLASMS
DISEASE:ALCOHOL_ABUSE;
OTHER:STATIN_DOSES_FOR_OPTIMAL_LIPID_CONTROL;
DISEASE:ALCOHOL_ABUSE;
SIDE_EFFECT:TOXIC_LIVER_DISEASE;
SIDE_EFFECT:HEMORRHAGE;
SIDE_EFFECT:HEMORRHAGE;
OTHER:HYDROCHLOROTHIAZIDE_INDUCED_CALCIUM_RETENTION;DISEASE:HYPERTENSION
SIDE_EFFECT:HEMORRHAGE;
SIDE_EFFECT:GASTROINTESTINAL_TOXICITY;DISEASE:PARKINSON_DISEASE
SIDE_EFFECT:GASTROINTESTINAL_TOXICITY;SIDE_EFFECT:PARKINSON_DISEASE
DISEASE:HEPATIC_VENO-OCCLUSIVE_DISEASE;OTHER:HEMATOPOIETIC_STEM_CELL_TRANSPLANTATION
EFFICACY:DIURETIC_UNRESPONSIVENESS;DISEASE:LIVER_CIRRHOSIS
SIDE_EFFECT:HEMORRHAGE;
EFFICACY:REDUCTION_IN_TOTAL_CHOLESTEROL;
EFFICACY:REDUCTION_IN_TOTAL_CHOLESTEROL;
EFFICACY:DIURETIC_UNRESPONSIVENESS;DISEASE:LIVER_CIRRHOSIS
EFFICACY:REDUCTION_IN_TOTAL_CHOLESTEROL;
EFFICACY:ANTI-INFLAMMATORY_EFFECTS;
OTHER:WHOLE_BLOOD_NITRITE;
EFFICACY:REMISSION;DISEASE:MAJOR_DEPRESSIVE_DISORDER
EFFICACY:DIURETIC_UNRESPONSIVENESS;DISEASE:LIVER_CIRRHOSIS
EFFICACY:REMISSION;DISEASE:MAJOR_DEPRESSIVE_DISORDER
PK:AUC;
SIDE_EFFECT:MUCOSITIS;OTHER:OSTEOSARCOMA
DISEASE:SUBSTANCE-RELATED_DISORDERS;
SIDE_EFFECT:DRUG_TOXICITY;OTHER:OSTEOSARCOMA
EFFICACY:REMISSION;DISEASE:MAJOR_DEPRESSIVE_DISORDER
EFFICACY:SUSTAINED_VIROLOGICAL_RESPONSE_(SVR);DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
SIDE_EFFECT:DERMATITIS;DISEASE:NASOPHARYNGEAL_NEOPLASMS
SIDE_EFFECT:ANEMIA, SIDE_EFFECT:MUCOSITIS;OTHER:OSTEOSARCOMA
PK:AUC;
PK:PLASMA_CONCENTRATIONS;
PK:AUC;
EFFICACY:HIGH_ON-TREATMENT_PLATELET_REACTIVITY;DISEASE:ACUTE_CORONARY_SYNDROME
DISEASE:NEUTROPENIA;DISEASE:NEOPLASMS
SIDE_EFFECT:NEUTROPENIA;DISEASE:NASOPHARYNGEAL_NEOPLASMS
PK:AUC_SIMVASTATIN_ACID;
EFFICACY:HIGHER_PLATELET_REACTIVITY_INDEX_(PRI)_VASODILATOR-STIMULATED_PHOSPHOPROTEIN_(VASP)_AT_1_MONTH_OF_TREATMENT;DISEASE:ACUTE_CORONARY_SYNDROME
SIDE_EFFECT:DRUG_TOXICITY;DISEASE:PSYCHOTIC_DISORDER
SIDE_EFFECT:MYELOSUPPRESSION;DISEASE:NASOPHARYNGEAL_NEOPLASMS
SIDE_EFFECT:DRUG_TOXICITY;DISEASE:PSYCHOTIC_DISORDER
SIDE_EFFECT:ANEMIA, SIDE_EFFECT:NEUTROPENIA;DISEASE:NASOPHARYNGEAL_NEOPLASMS
EFFICACY:SLOWER_RESPONSE_TIME;DISEASE:MAJOR_DEPRESSIVE_DISORDER
SIDE_EFFECT:ABDOMINAL_PAIN;DISEASE:RHEUMATOID_ARTHRITIS
DISEASE:FATIGUE;DISEASE:MAJOR_DEPRESSIVE_DISORDER
SIDE_EFFECT:DRUG_TOXICITY;DISEASE:PSYCHOTIC_DISORDER
SIDE_EFFECT:DERMATITIS;DISEASE:NASOPHARYNGEAL_NEOPLASMS
SIDE_EFFECT:MUCOSITIS;OTHER:OSTEOSARCOMA
SIDE_EFFECT:DRUG_TOXICITY;DISEASE:PSYCHOTIC_DISORDER
SIDE_EFFECT:ANEMIA;DISEASE:NASOPHARYNGEAL_NEOPLASMS
PK:_SERUM_R_-WARFARIN_CONCENTRATION;
SIDE_EFFECT:DIMINISHED_ESTIMATED_GLOMERULAR_FILTRATION_RATE_(EGFR)_DURING_THE_FIRST_YEAR_AFTER_ENGRAFTMENT;DISEASE:KIDNEY_TRANSPLANTATION
SIDE_EFFECT:LEUKOPENIA;OTHER:OSTEOSARCOMA
DISEASE:SUBSTANCE-RELATED_DISORDERS;
DISEASE:PROTEINURIA;DISEASE:KIDNEY_TRANSPLANTATION
SIDE_EFFECT:METABOLIC_SYNDROME;DISEASE:SCHIZOAFFECTIVE_DISORDER, DISEASE:SCHIZOPHRENIA
DISEASE:ATRIAL_FIBRILLATION;
EFFICACY:RAPID_VIROLOGICAL_RESPONSE_(RVR), EFFICACY:SUSTAINED_VIROLOGICAL_RESPONSE_(SVR);DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
DISEASE:SUBSTANCE-RELATED_DISORDERS;
EFFICACY:SURVIVAL;DISEASE:NON-HODGKIN_LYMPHOMA
EFFICACY:_ASPIRIN-RESISTANT_PHENOTYPE;
SIDE_EFFECT:STATIN-RELATED_MYOPATHY;DISEASE:CORONARY_ARTERY_DISEASE
DISEASE:MAJOR_DEPRESSIVE_DISORDER;
DISEASE:TOBACCO_USE_DISORDER;
EFFICACY:MEDIAN_WEEKLY_WARFARIN_DOSE_REQUIREMENTS;
SIDE_EFFECT:HEMATOLOGICAL_TOXICITY;DISEASE:NON-HODGKIN_LYMPHOMA
SIDE_EFFECT:MYALGIA;DISEASE:CORONARY_ARTERY_DISEASE
SIDE_EFFECT:TREATMENT_INTERRUPTION;DISEASE:COLORECTAL_NEOPLASMS
EFFICACY:REDUCTION_IN_RESTING_BLOOD_PRESSURE;
EFFICACY:HIGH_ON-TREATMENT_PLATELET_REACTIVITY;OTHER:MUCOCUTANEOUS_LYMPH_NODE_SYNDROME
DISEASE:SUICIDE;DISEASE:DEPRESSIVE_DISORDER
DISEASE:DRUG_TOXICITY;DISEASE:COLONIC_NEOPLASMS
SIDE_EFFECT:GASTROINTESTINAL_TOXICITY;OTHER:PROSTATIC_NEOPLASMS
SIDE_EFFECT:ASPIRIN_RESISTANCE;
DISEASE:SUBSTANCE-RELATED_DISORDERS;
SIDE_EFFECT:ASPIRIN_RESISTANCE;
SIDE_EFFECT:OBESITY;DISEASE:SCHIZOPHRENIA
DISEASE:NEUTROPENIA;DISEASE:COLONIC_NEOPLASMS
SIDE_EFFECT:OVER-ANTICOAGULATION;
SIDE_EFFECT:ASPIRIN-INTOLERANT_CHRONIC_URTICARIA;
EFFICACY:SEN_SITIVITY_TO_WARFARIN_DURING_INDUCTION;
SIDE_EFFECT:OVER-ANTICOAGULATION;
EFFICACY:RESPONSE_TO_CHEMOTHERAPY;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
EFFICACY:MAJOR_ADVERSE_CARDIAC_EVENTS_(MACE);OTHER:ACUTE_CORONARY_SYNDROME
SIDE_EFFECT:DRUG_TOXICITY, SIDE_EFFECT:TREATMENT_MODIFICATION;OTHER:NEOPLASMS
SIDE_EFFECT:ANEMIA;OTHER:OSTEOSARCOMA
SIDE_EFFECT:PERIPHERAL_NERVOUS_SYSTEM_DISEASES;OTHER:BREAST_NEOPLASMS
SIDE_EFFECT:ANEMIA, SIDE_EFFECT:DRUG_TOXICITY;OTHER:OSTEOSARCOMA
OTHER:ERYTHROCYTE_PLASMA_MEMBRANE_FLUIDITY;
PK:S-WARFARIN_CLEARANCE;
EFFICACY:MAJOR_ADVERSE_CARDIAC_EVENTS_(MACE);OTHER:ACUTE_CORONARY_SYNDROME
SIDE_EFFECT:LEUKOPENIA, SIDE_EFFECT:NEUTROPENIA;DISEASE:BREAST_NEOPLASMS
SIDE_EFFECT:TOXIC_LIVER_DISEASE;
EFFICACY:MAJOR_ADVERSE_CARDIAC_EVENTS_(MACE);OTHER:ACUTE_CORONARY_SYNDROME
SIDE_EFFECT:TOXIC_LIVER_DISEASE;
SIDE_EFFECT:HEMATOLOGIC_TOXICITY;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
SIDE_EFFECT:DISCONTINUATION;
SIDE_EFFECT:ASTHMA;
DISEASE:BRADYCARDIA;DISEASE:OPEN-ANGLE_GLAUCOMA
SIDE_EFFECT:LEUKOPENIA, SIDE_EFFECT:NEUTROPENIA;DISEASE:BREAST_NEOPLASMS
SIDE_EFFECT:HEMATOLOGIC_TOXICITY;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
SIDE_EFFECT:TOXIC_LIVER_DISEASE;
SIDE_EFFECT:DISCONTINUATION;
EFFICACY:MAJOR_ADVERSE_CARDIAC_EVENTS_(MACE);OTHER:ACUTE_CORONARY_SYNDROME
PK:VENLAFAXINE_CONCENTRATION_PER_UNIT_DOSE;DISEASE:MAJOR_DEPRESSIVE_DISORDER
DISEASE:PARKINSON_DISEASE;
DISEASE:PARKINSON_DISEASE;
OTHER:COVID-19;OTHER:COVID-19
SIDE_EFFECT:DRUG-INDUCED_LIVER_INJURY;OTHER:PRECURSOR_T-CELL_LYMPHOBLASTIC_LEUKEMIA-LYMPHOMA, OTHER:OSTEOSARCOMA,OTHER:NON-HODGKIN_LYMPHOMA
DISEASE:PARKINSON_DISEASE;OTHER:COFFEE_CONSUMPTION
DISEASE:PARKINSON_DISEASE;OTHER:COFFEE_CONSUMPTION
PK:PLASMA_CONCENTRATIONS;
SIDE_EFFECT:STATIN-RELATED_MYOPATHY;
EFFICACY:MEAN_AUC_(AREA_UNDER_CURVE)_PROTHROMBIN_TIME;
SIDE_EFFECT:ANEMIA;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
DISEASE:DIABETES_MELLITUS, TYPE_2;
EFFICACY:SUSTAINED_VIROLOGICAL_RESPONSE_(SVR);DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
EFFICACY:HYPERCHOLESTEROLEMIA;
EFFICACY:HYPERCHOLESTEROLEMIA;
SIDE_EFFECT:THROMBOCYTOPENIA;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
DISEASE:OSTEONECROSIS;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
DISEASE:DRUG_TOXICITY;DISEASE:PANCREATIC_NEOPLASMS
OTHER:ABSTINENCE;OTHER:SMOKERS
EFFICACY:SUSTAINED_VIROLOGICAL_RESPONSE_(SVR);DISEASE:HEPATITIS_D_VIRUS_INFECTION
SIDE_EFFECT:CARDIOTOXICITY;DISEASE:NEOPLASMS
SIDE_EFFECT:DRUG_TOXICITY;DISEASE:COLORECTAL_NEOPLASMS
EFFICACY:SUSTAINED_VIROLOGICAL_RESPONSE_(SVR);DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
SIDE_EFFECT:ELEVATED_INSULIN_LEVELS;DISEASE:SCHIZOPHRENIA
SIDE_EFFECT:NEPHROTOXICITY;OTHER:OSTEOSARCOMA
SIDE_EFFECT:CARDIOTOXICITY;OTHER:OSTEOSARCOMA
EFFICACY:PROGRESSION-FREE_SURVIVAL;OTHER:BREAST_NEOPLASMS, OTHER:KIDNEY_NEOPLASMS,OTHER:NEUROENDOCRINE_TUMORS
SIDE_EFFECT:DRUG_TOXICITY;DISEASE:BREAST_NEOPLASMS
SIDE_EFFECT:NEPHROTOXICITY;OTHER:OSTEOSARCOMA
DISEASE:TOBACCO_USE_DISORDER;
EFFICACY:SURVIVAL;DISEASE:COLORECTAL_NEOPLASMS
DISEASE:ASTHMA;
SIDE_EFFECT:ELEVATED_INSULIN_LEVELS;DISEASE:SCHIZOPHRENIA
EFFICACY:SUSTAINED_VIROLOGICAL_RESPONSE_(SVR);DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
EFFICACY:OVERALL_SURVIVAL;DISEASE:COLORECTAL_NEOPLASMS
EFFICACY:OVERALL_SURVIVAL;DISEASE:COLORECTAL_NEOPLASMS
OTHER:SMALL-DENSE_LDL_LEVELS;
SIDE_EFFECT:HYPOMAGNESEMIA_PRIMARY;
SIDE_EFFECT:DRUG_TOXICITY;DISEASE:COLONIC_NEOPLASMS
;DISEASE:DEPRESSIVE_DISORDER
SIDE_EFFECT:METABOLIC_SYNDROME;DISEASE:PSYCHOTIC_DISORDER, DISEASE:SCHIZOPHRENIA
SIDE_EFFECT:TOXIC_LIVER_DISEASE;DISEASE:RHEUMATOID_ARTHRITIS
DISEASE:MALIGT_HYPERTHERMIA;
EFFICACY:SURVIVAL;DISEASE:COLORECTAL_NEOPLASMS
PK:AUC_SIMVASTATIN_ACID;
SIDE_EFFECT:HYPOMAGNESEMIA_PRIMARY;
SIDE_EFFECT:LEUKOPENIA;OTHER:OSTEOSARCOMA
SIDE_EFFECT:INFECTIOUS_DISEASE, SIDE_EFFECT:LEUKOPENIA;OTHER:OSTEOSARCOMA
SIDE_EFFECT:METABOLIC_SYNDROME;DISEASE:PSYCHOTIC_DISORDER, DISEASE:SCHIZOPHRENIA
PK:AUC_SIMVASTATIN_ACID;
DISEASE:MALIGT_HYPERTHERMIA;
SIDE_EFFECT:DRUG_TOXICITY;DISEASE:HIV_INFECTIOUS_DISEASE
SIDE_EFFECT:HYPERCHOLESTEROLEMIA;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
DISEASE:MALIGT_HYPERTHERMIA;
DISEASE:MALIGT_HYPERTHERMIA;
DISEASE:MALIGT_HYPERTHERMIA;
SIDE_EFFECT:DRUG_TOXICITY;DISEASE:HIV_INFECTIOUS_DISEASE
SIDE_EFFECT:TREATMENT_INTERRUPTION;DISEASE:COLORECTAL_NEOPLASMS
DISEASE:MALIGT_HYPERTHERMIA;
SIDE_EFFECT:DIARRHEA;OTHER:BREAST_NEOPLASMS
