ATC;Medicamento;Drug;Anatomico;Terapeutico;Farmacologico;Quimico
J05AR;ANTIVIRALES PARA TRATAMIENTO DE INFECC HIV EN ASOCIACION;ANTIVIRALS FOR THE TREATMENT OF HIV INFECTION IN ASSOCIATION;J;J05;J05A;J05AR
J05AR01;ZIDOVUDINA+LAMIVUDINA;ZIDOVUDINE+LAMIVUDINE;J;J05;J05A;J05AR
J05AR02;LAMIVUDINA+ABACAVIR;Lamivudine + Abacavir;J;J05;J05A;J05AR
J05AR03;TENOFOVIR DISOPROXILO+EMTRICITABINA;TENOFOVIR DISOPROXIL+EMTRICITABINE;J;J05;J05A;J05AR
J05AR04;ZIDOVUDINA+LAMIVUDINA+ABACAVIR;ZIDOVUDINE+LAMIVUDINE+ABACAVIR;J;J05;J05A;J05AR
J05AR05;ZIDOVUDINA+LAMIVUDINA+NEVIRAPINA;ZIDOVUDINE+LAMIVUDINE+NEVIRAPINE;J;J05;J05A;J05AR
J05AR06;EMTRICITABINA+TENOFOVIR DISOPROXILO+EFAVIRENZ;EMTRICITABINE+TENOFOVIR DISOPROXIL+EFAVIRENZ;J;J05;J05A;J05AR
J05AR07;ESTAVUDINA+LAMIVUDINA+NEVIRAPINA;STAVUDINE+LAMIVUDINE+NEVIRAPINE;J;J05;J05A;J05AR
J05AR08;Emtricitabina, tenofovir disopril y rilpivirina;EMTRICITABINE, TENOFOVIR DISOPRIL AND RILPIVIRINE;J;J05;J05A;J05AR
J05AR09;Emtricitabina, tenofovir dosipril, elvitegravir y cobicistat;EMTRICITABINE, TENOFOVIR DOSIPRIL, ELVITEGRAVIR AND COBICISTAT;J;J05;J05A;J05AR
J05AR10;Lopinavir/Ritonavir;LOPINAVIR/RITONAVIR;J;J05;J05A;J05AR
J05AR12;Lamivudina y tenofovir disoproxilo;LAMIVUDINE AND TENOFOVIR DISOPROXIL;J;J05;J05A;J05AR
J05AR13;Lamivudina, abacavir y dolutegravir;LAMIVUDINE, ABACAVIR AND DOLUTEGRAVIR;J;J05;J05A;J05AR
J05AR14;Darunavir y cobicistat;DARUNAVIR AND COBICISTAT;J;J05;J05A;J05AR
J05AR15;Atazanavir y cobicistat;ATAZANAVIR AND COBICISTAT;J;J05;J05A;J05AR
J05AR17;Emtricitabina y tenofovir alafenamida;EMTRICITABINE AND TENOFOVIR ALAFENAMIDE;J;J05;J05A;J05AR
J05AR18;Emtricitabina, tenofovir alafenamida, elvitegravir y cobicistat;EMTRICITABINE, TENOFOVIR ALAFENAMIDE, ELVITEGRAVIR AND COBICISTAT;J;J05;J05A;J05AR
J05AR19;Emtricitabina, tenofovir alafenamida y rilpivirina ;EMTRICITABINE, TENOFOVIR ALAFENAMIDE AND RILPIVIRINE;J;J05;J05A;J05AR
J05AR20;Emtricitabina, tenofovir alafenamida y bictegravir;EMTRICITABINE, TENOFOVIR ALAFENAMIDE AND BICTEGRAVIR;J;J05;J05A;J05AR
J05AR21;Dolutegravir y Rilpivirina;DOLUTEGRAVIR AND RILPIVIRINE;J;J05;J05A;J05AR
J05AR22; Emtricitabina, tenofovir alafenamida, darunavir y cobicistat;EMTRICITABINE, TENOFOVIR ALAFENAMIDE, DARUNAVIR AND COBICISTAT;J;J05;J05A;J05AR
J05AR25;Lamivudina y dolutegravir;Lamivudine and Dolutegravir;J;J05;J05A;J05AR
J05ARNE;ANTIVIRALES PARA TRATAMIENTO DE INFECC HIV EN ASOCIACION NE;ANTIVIRALS FOR THE TREATMENT OF HIV INFECTION IN ASSOCIATION WITH NE;J;J05;J05A;J05AR
J05AX;OTROS ANTIVIRALES (SISTEMICOS);OTHER ANTIVIRALS (SYSTEMIC);J;J05;J05A;J05AX
J05AX01;MOROXIDINA;MOROXIDINE;J;J05;J05A;J05AX
J05AX02;LISOZIMA;LYSOZYME;J;J05;J05A;J05AX
J05AX05;INOSINA PRANOBEX;INOSINE PRANOBEX;J;J05;J05A;J05AX
J05AX06;PLECONARIL;PLECONARIL;J;J05;J05A;J05AX
J05AX07;ENFUVIRTIDA;ENFUVIRTIDA;J;J05;J05A;J05AX
J05AX08;RALTEGRAVIR;RALTEGRAVIR;J;J05;J05A;J05AX
J05AX09;MARAVIROC;MARAVIROC;J;J05;J05A;J05AX
J05AX10;MARIBAVIR;MARIBAVIR;J;J05;J05A;J05AX
J05AX11;Elvitegravir;ELVITEGRAVIR;J;J05;J05A;J05AX
J05AX12;Dolutegravir;DOLUTEGRAVIR;J;J05;J05A;J05AX
J05AX14;Daclatasvir;DACLATASVIR;J;J05;J05A;J05AX
J05AX15;Sofosbuvir;SOFOSBUVIR;J;J05;J05A;J05AX
J05AX18;Letermovir;LETERMOVIR;J;J05;J05A;J05AX
J05AX68;Elbasvir y Grazoprevir;ELBASVIR AND GRAZOPREVIR;J;J05;J05A;J05AX
J05AX69;Sofosbuvir y Velpatasvir;SOFOSBUVIR AND VELPATASVIR;J;J05;J05A;J05AX
J05AX91;MK-518;MK-518;J;J05;J05A;J05AX
J05AX92;ENZIMAS PROTEOLITICAS;PROTEOLYTIC ENZYMES;J;J05;J05A;J05AX
J05AXNE;OTROS ANTIVIRALES (SISTEMICOS) NE;OTHER ANTIVIRALS (SYSTEMIC) NE;J;J05;J05A;J05AX
J06;SUEROS INMUNOLOGICOS E INMUNOGLOBULINAS;IMMUNOLOGICAL SERUMS AND IMMUNOGLOBULINS;J;J06;;
J06A;SUEROS INMUNOLOGICOS;IMMUNOLOGICAL SERUMS;J;J06;J06A;
J06AA;SUEROS INMUNOLOGICOS;IMMUNOLOGICAL SERUMS;J;J06;J06A;J06AA
J06AA01;ANTITOXINA DIFTERICA;Diphtheria antitoxin;J;J06;J06A;J06AA
J06AA02;ANTITOXINA TETANICA;TETANUS ANTITOXIN;J;J06;J06A;J06AA
J06AA03;ANTISUERO VENENO SERPIENTES;SNAKE VENOM ANTISERUM;J;J06;J06A;J06AA
J06AA04;ANTITOXINA BOTULINICA;BOTULINUM ANTITOXIN;J;J06;J06A;J06AA
J06AN;SUEROS INMUNOLOGICOS NE;IMMUNOLOGICAL SERUMS NE;J;J06;J06A;J06AN
J06ANNE;SUEROS INMUNOLOGICOS NE NE;IMMUNOLOGICAL SERUMS NE NE;J;J06;J06A;J06AN
J06B;INMUNOGLOBULINAS;IMMUNOGLOBULINS;J;J06;J06B;
J06BA;INMUNOGLOBULINA HUMANA INESPECIFICA;Nonspecific human immunoglobulin;J;J06;J06B;J06BA
J06BA01;GAMMAGLOBULINA HUMANA NORMAL VIA EXTRAVASCULAR;NORMAL HUMAN GAMMAGLOBULIN EXTRAVASCULAR VIA;J;J06;J06B;J06BA
J06BA02;GAMMAGLOBULINA HUMANA NORMAL VIA INTRAVASCULAR;NORMAL HUMAN GAMMAGLOBULIN INTRAVASCULAR ROUTE;J;J06;J06B;J06BA
J06BANE;Inmunoglobulinas humanas normales NE;NORMAL HUMAN IMMUNOGLOBULINS NE;J;J06;J06B;J06BA
J06BB;INMUNOGLOBULINAS ESPECIFICAS;SPECIFIC IMMUNOGLOBULINS;J;J06;J06B;J06BB
J06BB01;GAMMAGLOBULINA ANTI-RH;Gamma-globulin anti-RH;J;J06;J06B;J06BB
J06BB02;GAMMAGLOBULINA ANTITETANICA;Antitetanus Gammaglobulin;J;J06;J06B;J06BB
J06BB03;GAMMAGLOBULINA ANTI VARICELA-ZONA;GAMMAGLOBULIN ANTI-VARICELA ZONE;J;J06;J06B;J06BB
J06BB04;GAMMAGLOBULINA HUMANA ANTIHEPATITIS B;HUMAN GAMMA GLOBULIN ANTIHEPATITIS B;J;J06;J06B;J06BB
J06BB05;GAMMAGLOBULINA ANTIRABICA;ANTI-RABIES GAMMAGLOBULIN;J;J06;J06B;J06BB
J06BB09;GAMMAGLOBULINA ANTICITOMEGALOVIRUS;Gammaglobulin Anticytomegalovirus;J;J06;J06B;J06BB
J06BB16;PALIVIZUMAB;PALIVIZUMAB;J;J06;J06B;J06BB
J06BB21; Bezlotoxumab;BEZLOTOXUMAB;J;J06;J06B;J06BB
J06BC;OTRAS INMUNOGLOBULINAS;OTHER IMMUNOGLOBULINS;J;J06;J06B;J06BC
J06BC01;NEBACUMAB;NEBACUMAB;J;J06;J06B;J06BC
J07;VACUNAS;VACCINES;J;J07;;
J07A;VACUNAS BACTERIANAS;BACTERIAL VACCINES;J;J07;J07A;
J07AE;VACUNAS CONTRA COLERA;CHOLERA VACCINES;J;J07;J07A;J07AE
J07AE01;VIBRIO CHOLERAE INACTIVADO;Inactivated Vibrio Cholerae;J;J07;J07A;J07AE
J07AF;VACUNAS CONTRA DIFTERIA;DIPHTHERIA VACCINES;J;J07;J07A;J07AF
J07AF01;TOXOIDE DIFTERICO;Diphtheria toxoid;J;J07;J07A;J07AF
J07AG;VACUNAS CONTRA HAEMOPHILUS INFLUENZAE TIPO B;HAEMOPHILUS INFLUENZAE TYPE B VACCINES;J;J07;J07A;J07AG
J07AG01;HAEMOPHILUS INFLUENZAE TIPO B;HAEMOPHILUS INFLUENZAE TYPE B;J;J07;J07A;J07AG
J07AG51;HAEMOPHILUS INFLUENZAE TIPO B + DIFTERIA+TETANOS;HAEMOPHILUS INFLUENZAE TYPE B + DIPHTHERIA+TETANUS;J;J07;J07A;J07AG
J07AG52;HAEMOPHILUS INFLUENZAE TIPO B + DIFTERIA+TETANOS+PERTUSSIS;HAEMOPHILUS INFLUENZAE TYPE B + DIPHTHERIA+TETANUS+PERTUSSIS;J;J07;J07A;J07AG
J07AG53;HAEMOPHILUS INFLUENZAE TIPO B + MENINGOCOCO C CONJUGADO;HAEMOPHILUS INFLUENZAE TYPE B + MENINGOCOCCUS C CONJUGATE;J;J07;J07A;J07AG
J07AH;VACUNAS CONTRA MENINGOCOCO;MENINGOCOCCAL VACCINES;J;J07;J07A;J07AH
J07AH02;MENINGOCOCO C ANTIGENO POLISACARIDOS PURIFICADOS NO CONJUGAD;MENINGOCOCCUS C ANTIGEN PURIFIED UNCONJUGATED POLYSACCHARIDES;J;J07;J07A;J07AH
J07AH03;MENINGOCOCO A Y C ANTIGENOS POLISCARIDOS PURIFICADOS NO CONJ;MENINGOCOCCUS AYC PURIFIED POLYSCARIDE ANTIGENS NO CONJ;J;J07;J07A;J07AH
J07AH04;MENINGOCOCO TETRAVALENTE (A,C,W,Y) POLISAC PURIF NO CONJUGAD;TETRAVALENT MENINGOCOCCUS (A, C, W, Y) POLISAC PURIF UNCONJUGATED;J;J07;J07A;J07AH
J07AH07;MENINGOCOCO C ANTIGENO POLISACARIDOS PURIFICADOS CONJUGADA;MENINGOCOCCUS C ANTIGEN PURIFIED POLYSACCHARIDES CONJUGATE;J;J07;J07A;J07AH
J07AH08;MENINGOCOCO TETRAVALENTE (A,C,W,Y) ANTIGEN POLISAC CONJUGADA;TETRAVALENT MENINGOCOCCUS (A, C, W, Y) POLYSAC ANTIGEN CONJUGATE;J;J07;J07A;J07AH
J07AH09;Meningococo B, vacuna multicomponente;MENINGOCOCCUS B, MULTICOMPONENT VACCINE;J;J07;J07A;J07AH
J07AHNE;VACUNAS CONTRA MENINGOCOCO NE;MENINGOCOCCAL VACCINES NE;J;J07;J07A;J07AH
J07AJ;VACUNAS CONTRA BORDETELLA PERTUSSIS;Vaccines against Bordetella pertussis;J;J07;J07A;J07AJ
J07AJ01;BORDETELLA PERTUSSIS;Bordetella pertussis;J;J07;J07A;J07AJ
J07AJ51;PERTUSSIS INACTIVADO CELULA ENTERA ASOCIADO A TOXOIDES;WHOLE CELL INACTIVATED PERTUSSIS ASSOCIATED WITH TOXOIDS;J;J07;J07A;J07AJ
J07AJ52;PERTUSSIS ANTIGENO PURIFICADO ASOCIADO A TOXOIDES;PERTUSSIS PURIFIED ANTIGEN ASSOCIATED WITH TOXOIDS;J;J07;J07A;J07AJ
J07AL;VACUNAS CONTRA NEUMOCOCO;PNEUMOCOCCAL VACCINES;J;J07;J07A;J07AL
J07AL01;STREPTOCOCCUS PNEUMONIAE ANTIGENO;STREPTOCOCCUS PNEUMONIAE ANTIGEN;J;J07;J07A;J07AL
J07AL02;STREPTOCOCCUS PNEUMONIAE ANTIGENO CONJUGADO;STREPTOCOCCUS PNEUMONIAE CONJUGATED ANTIGEN;J;J07;J07A;J07AL
J07AL52;STREPTOCOCCUS PNEUMONIAE ANTIGENO CONJUGADO+H.INFLUENZAE;STREPTOCOCCUS PNEUMONIAE CONJUGATE ANTIGEN+H.INFLUENZAE;J;J07;J07A;J07AL
J07ALNE;VACUNAS CONTRA NEUMOCOCO NE;PNEUMOCOCCAL VACCINES NE;J;J07;J07A;J07AL
J07AM;VACUNAS CONTRA TETANOS;TETANUS VACCINATIONS;J;J07;J07A;J07AM
J07AM01;TOXOIDE TETANICO;TETANUS TOXOID;J;J07;J07A;J07AM
J07AM51;TOXOIDE TETANICO+TOXOIDE DIFTERICO;Tetanus toxoid + diphtheria toxoid;J;J07;J07A;J07AM
J07AN;VACUNAS CONTRA TUBERCULOSIS;TUBERCULOSIS VACCINES;J;J07;J07A;J07AN
J07AN01;MYCOBACTERIUM TUBERCULOSIS;MYCOBACTERIUM TUBERCULOSIS;J;J07;J07A;J07AN
J07AP;VACUNAS CONTRA FIEBRES TIFOIDEAS;TYPHOID FEVER VACCINATIONS;J;J07;J07A;J07AP
J07AP01;SALMONELLA TYPHI ORAL;ORAL SALMONELLA TYPHI;J;J07;J07A;J07AP
J07AP02;SALMONELLA TYPHI PARENTERAL;Parenteral Salmonella Typhi;J;J07;J07A;J07AP
J07AP03;VACUNA TIFOIDEA ANTIGENO POLISACARIDO PURIFICADO;TYPHOID VACCINE PURIFIED POLYSACCHARIDE ANTIGEN;J;J07;J07A;J07AP
J07AX;OTRAS VACUNAS BACTERIANAS;OTHER BACTERIAL VACCINES;J;J07;J07A;J07AX
J07AX91;VACUNA ANTICATARRAL;COLD VACCINE;J;J07;J07A;J07AX
J07B;VACUNAS VIRICAS;VIRAL VACCINES;J;J07;J07B;
J07BA;VACUNAS CONTRA LA ENCEFALITIS;VACCINES AGAINST ENCEPHALITIS;J;J07;J07B;J07BA
J07BA02;VIRUS ENCEFALITIS JAPONESA, ENTERO INACTIVADO;JAPANESE ENCEPHALITIS VIRUS, WHOLE INACTIVATED;J;J07;J07B;J07BA
J07BB;VACUNAS CONTRA LA INFLUENZA;INFLUENZA VACCINES;J;J07;J07B;J07BB
J07BB01;VIRUS GRIPE, ENTERO INACTIVADO;FLU VIRUS, WHOLE INACTIVATED;J;J07;J07B;J07BB
J07BB02;VIRUS GRIPE, ANTIGENO PURIFICADO;FLU VIRUS, PURIFIED ANTIGEN;J;J07;J07B;J07BB
J07BB03;VIRUS GRIPE, VIVO ATENUADO;FLU VIRUS, LIVE ATTENUATED;J;J07;J07B;J07BB
J07BB91;VIRUS GRIPE FRACCIONADO;SPLIT FLU VIRUS;J;J07;J07B;J07BB
J07BBNE;VACUNAS CONTRA LA INFLUENZA NE;INFLUENZA VACCINES NE;J;J07;J07B;J07BB
J07BC;VACUNAS CONTRA LA HEPATITIS;HEPATITIS VACCINES;J;J07;J07B;J07BC
J07BC01;ANTIGENO HEPATITIS B;HEPATITIS B ANTIGEN;J;J07;J07B;J07BC
J07BC02;ANTIGENO HEPATITIS A;HEPATITIS A ANTIGEN;J;J07;J07B;J07BC
J07BC20;ANTIGENO HEPATITIS A+ANTIGENO HEPATITIS B;HEPATITIS A ANTIGEN+HEPATITIS B ANTIGEN;J;J07;J07B;J07BC
J07BD;VACUNAS CONTRA EL SARAMPION;MEASLES VACCINES;J;J07;J07B;J07BD
J07BD01;VIRUS SARAMPION ATENUADO;ATTENUATED MEASLES VIRUS;J;J07;J07B;J07BD
J07BD52;VIRUS SARAMPION+V.PAROTIDITIS+V.RUBEOLA;MEASLES VIRUS + V. MUMPS + V. RUBELLA;J;J07;J07B;J07BD
J07BD54;VIRUS SARAMPION+PAROTIDITIS+RUBEOLA+VARICELA VIVO ATENUADO;MEASLES+MUMPS+RUBELLA+CHICKENPOX VIRUS LIVE ATTENUATED;J;J07;J07B;J07BD
J07BE;VACUNAS CONTRA LA PAROTIDITIS;MUMPS VACCINES;J;J07;J07B;J07BE
J07BE01;VIRUS PAROTIDITIS ATENUADO;ATTENUATED MUMPS VIRUS;J;J07;J07B;J07BE
J07BF;VACUNAS CONTRA LA POLIOMIELITIS;POLIO VACCINES;J;J07;J07B;J07BF
J07BF02;VIRUS POLIO TRIVALENTE ORAL;ORAL TRIVALENT POLIO VIRUS;J;J07;J07B;J07BF
J07BF03;VIRUS POLIO TRIVALENTE INYECTABLE;Injectable Trivalent Poliovirus;J;J07;J07B;J07BF
J07BG;VACUNAS CONTRA LA RABIA;RABIES VACCINES;J;J07;J07B;J07BG
J07BG01;VIRUS RABIA ATENUADO;ATTENUATED RABIES VIRUS;J;J07;J07B;J07BG
J07BH;VACUNAS CONTRA EL ROTAVIRUS (DIARREA);Rotavirus (diarrhea) vaccines;J;J07;J07B;J07BH
J07BH01;VACUNA ROTAVIRUS VIVO ATENUADO;LIVE ATTENUATED ROTAVIRUS VACCINE;J;J07;J07B;J07BH
J07BH02;VACUNA ROTAVIRUS VIVO PENTAVALENTE RECLASIFICADO;RECLASSIFIED LIVE PENTAVALENT ROTAVIRUS VACCINE;J;J07;J07B;J07BH
J07BJ;VACUNAS CONTRA LA RUBEOLA;RUBELLA VACCINES;J;J07;J07B;J07BJ
J07BJ01;VIRUS RUBEOLA ATENUADO;ATTENUATED RUBELLA VIRUS;J;J07;J07B;J07BJ
J07BK;VACUNAS CONTRA LA VARICELA ZOSTER;CHICKENPOX ZOSTER VACCINES;J;J07;J07B;J07BK
J07BK01;VIRUS VARICELA;CHICKENPOX VIRUS;J;J07;J07B;J07BK
J07BK02;VIRUS VARICELA ZOSTER;VARICELA ZOSTER VIRUS;J;J07;J07B;J07BK
J07BL;VACUNAS CONTRA LA FIEBRE AMARILLA;YELLOW FEVER VACCINES;J;J07;J07B;J07BL
J07BL01;VIRUS DE LA FIEBRE AMARILLA;YELLOW FEVER VIRUS;J;J07;J07B;J07BL
J07BM;VACUNA CONTRA EL PAPILOMAVIRUS;PAPILLOMAVIRUS VACCINE;J;J07;J07B;J07BM
J07BM01;VACUNA PAPILOMAVIRUS HUMANO TIPOS 6,11,16,18;HUMAN PAPILLOMAVIRUS VACCINE TYPES 6, 11, 16, 18;J;J07;J07B;J07BM
J07BM02;VIRUS DEL PAPILOMA HUMANO TIPOS 16 Y 18;HUMAN PAPILLOMAVIRUS TYPES 16 AND 18;J;J07;J07B;J07BM
J07BM03;Papilomavirus (tipos humanos 6, 11, 16, 18, 31, 33, 45, 52, 58);PAPILLOMAVIRUS (HUMAN TYPES 6, 11, 16, 18, 31, 33, 45, 52, 58);J;J07;J07B;J07BM
J07BX;Otras vacunas virales;OTHER VIRAL VACCINES;J;J07;J07B;J07BX
J07BX03;Vacunas contra COVID-19;COVID-19 VACCINES;J;J07;J07B;J07BX
J07C;VACUNAS ANTIBACTERIANAS Y ANTIVIRALES ASOCIADAS;ANTIBACTERIAL AND ASSOCIATED ANTIVIRALS VACCINES;J;J07;J07C;
J07CA;VACUNAS ANTIBACTERIANAS Y ANTIVIRALES ASOCIADAS;ANTIBACTERIAL AND ASSOCIATED ANTIVIRALS VACCINES;J;J07;J07C;J07CA
J07CA01;Difteria-poliomielitis-t�tanos;DIPHTHERIA-POLIOMYELITIS-TTANUS;J;J07;J07C;J07CA
J07CA02;DIFTERIA+PERTUSIS+POLIOMIELITIS+TETANOS;DIPHTHERIA+PERTUSIS+POLIOMIELITIS+TETANUS;J;J07;J07C;J07CA
J07CA05;DIFTERIA+PERTUSSIS+TETANOS+HEPATITIS B;DIPHTHERIA+PERTUSSIS+TETANUS+HEPATITIS B;J;J07;J07C;J07CA
J07CA06;DIFTERIA+H.INFLUENZA+PERTUSSIS+POLIOMIELITIS+TETANOS;DIPHTHERIA+H.INFLUENZA+PERTUSSIS+POLIOMYELITIS+TETANUS;J;J07;J07C;J07CA
J07CA07;DIFTERIA+HEPATITIS B+TETANOS;DIPHTHERIA+HEPATITIS B+TETANUS;J;J07;J07C;J07CA
J07CA08;HAEMOPHILUS INFLUENZAE TIPOS A Y B;HAEMOPHILUS INFLUENZAE TYPES A AND B;J;J07;J07C;J07CA
J07CA09;DIFTERIA+H.INFLUENZAE B+PERTUSIS+POLIOMIELIT+TETANOS+HEPAT.B;DIPHTHERIA+H.INFLUENZAE B+PERTUSIS+POLIOMYELIT+TETANUS+HEPAT.B;J;J07;J07C;J07CA
J07CA10;SALMONELLA TYPHI + HEPATITIS A;SALMONELLA TYPHI + HEPATITIS A;J;J07;J07C;J07CA
J07CA13;DIFTERIA+H.INFLUENZAE+PERTUSIS+TETANOS+HEPATIT B+MENING A/C;DIPHTHERIA+H.INFLUENZAE+PERTUSIS+TETANUS+HEPATIT B+MENING A/C;J;J07;J07C;J07CA
J07CANE;VACUNAS ANTIBACTERIANAS Y ANTIVIRALES ASOCIADAS NE;ANTIBACTERIAL AND ASSOCIATED ANTIVIRALS VACCINES NE;J;J07;J07C;J07CA
L;ANTINEOPLASICOS E INMUNOMODULADORES;ANTINEOPLASTIC AND IMMUNOMODULATORS;L;;;
L01;ANTINEOPLASICOS;ANTINEOPLASTIC DRUGS;L;L01;;
L01A;AGENTES ALQUILANTES (ANTINEOPLASICOS);Alkylating agents (antineoplastic agents);L;L01;L01A;
L01AA;ANALOGOS DE MOSTAZAS NITROGENADAS (ANTINEOPLASICOS);ANALOGUES OF NITROGENATED MUSTARDS (ANTINEOPLASTIC);L;L01;L01A;L01AA
L01AA01;CICLOFOSFAMIDA;CYCLOPHOSPHAMIDE;L;L01;L01A;L01AA
L01AA02;CLORAMBUCILO;Chlorambucil;L;L01;L01A;L01AA
L01AA03;MELFALAN;MELFALAN;L;L01;L01A;L01AA
L01AA05;CLORMETINA;CHLORMETINE;L;L01;L01A;L01AA
L01AA06;IFOSFAMIDA;IFOSFAMIDE;L;L01;L01A;L01AA
L01AA07;TROFOSFAMIDA;TROPHOSPHAMIDE;L;L01;L01A;L01AA
L01AA08;PREDNIMUSTINA;PREDNIMUSTINE;L;L01;L01A;L01AA
L01AA09;BENDAMUSTINA;BENDAMUSTINA;L;L01;L01A;L01AA
L01AA91;BENDAMUSTINA;BENDAMUSTINA;L;L01;L01A;L01AA
L01AB;ALQUIL SULFONATOS (ANTINEOPLASICOS);ALKYL SULFONATES (ANTINEOPLASTICS);L;L01;L01A;L01AB
L01AB01;BUSULFANO;BUSULFANO;L;L01;L01A;L01AB
L01AB02;Treosulfano;Treosulphane;L;L01;L01A;L01AB
L01AC;ETILENO IMINAS (ANTINEOPLASICOS);ETHYLENE IMINES (ANTINEOPLASTICS);L;L01;L01A;L01AC
L01AC01;TIOTEPA;TIOTEPA;L;L01;L01A;L01AC
L01AC07;AZACITIDINA;AZACITIDINE;L;L01;L01A;L01AC
L01AD;NITROSOUREAS (ANTINEOPLASICOS);Nitrosoureas (antineoplastic agents);L;L01;L01A;L01AD
L01AD01;CARMUSTINA;CARMUSTINA;L;L01;L01A;L01AD
L01AD02;LOMUSTINA;LOMUSTINA;L;L01;L01A;L01AD
L01AD03;SEMUSTINA;SEMUSTINA;L;L01;L01A;L01AD
L01AD04;ESTREPTOZOCINA;Streptozocin;L;L01;L01A;L01AD
L01AD05;FOTEMUSTINA;FOTEMUSTINA;L;L01;L01A;L01AD
L01AD06;NIMUSTINA;NIMUSTINA;L;L01;L01A;L01AD
L01AD07;RANIMUSTINA;RANIMUSTINA;L;L01;L01A;L01AD
L01AX;OTROS ALQUILANTES (ANTINEOPLASICOS);OTHER ALKYLATING AGENTS (ANTINEOPLASTICS);L;L01;L01A;L01AX
L01AX03;TEMOZOLOMIDA;TEMOZOLOMIDE;L;L01;L01A;L01AX
L01AX04;DACARBAZINA;DACARBAZINE;L;L01;L01A;L01AX
L01B;ANTIMETABOLITOS (ANTINEOPLASICOS);ANTIMETABOLITES (ANTINEOPLASTICS);L;L01;L01B;
L01BA;ANALOGOS ACIDO FOLICO (ANTINEOPLASICOS);FOLIC ACID ANALOGS (ANTINEOPLASTICS);L;L01;L01B;L01BA
L01BA01;METOTREXATO;Methotrexate;L;L01;L01B;L01BA
L01BA03;RALTITREXED;RALTITREXED;L;L01;L01B;L01BA
L01BA04;PEMETREXED;PEMETREXED;L;L01;L01B;L01BA
L01BA05;PRALATREXATO;PRALATREXATE;L;L01;L01B;L01BA
L01BB;ANALOGOS DE PURINAS (ANTINEOPLASICOS);PURINE ANALOGS (ANTINEOPLASTICS);L;L01;L01B;L01BB
L01BB02;MERCAPTOPURINA;Mercaptopurine;L;L01;L01B;L01BB
L01BB03;TIOGUANINA;THIOGUANINE;L;L01;L01B;L01BB
L01BB04;CLADRIBINA;CLADRIBINE;L;L01;L01B;L01BB
L01BB05;FLUDARABINA;FLUDARABINE;L;L01;L01B;L01BB
L01BB06;CLOFARABINA;CLOFARABINE;L;L01;L01B;L01BB
L01BB07;NELARABINA;NELARABINE;L;L01;L01B;L01BB
L01BB91;MERCAPTOPROPION;Mercaptopropion;L;L01;L01B;L01BB
L01BC;ANALOGOS DE PIRIMIDINAS (ANTINEOPLASICOS);PYRIMIDINE ANALOGS (ANTINEOPLASTICS);L;L01;L01B;L01BC
L01BC01;CITARABINA;CYTARABINE;L;L01;L01B;L01BC
L01BC02;FLUOROURACILO;FLUOROURACIL;L;L01;L01B;L01BC
L01BC03;TEGAFUR;TEGAFUR;L;L01;L01B;L01BC
L01BC05;GEMCITABINA;GEMCITABINE;L;L01;L01B;L01BC
L01BC06;CAPECITABINA;CAPECITABINE;L;L01;L01B;L01BC
L01BC07;AZACITIDINA;AZACITIDINE;L;L01;L01B;L01BC
L01BC08;Decitabina;Decitabine;L;L01;L01B;L01BC
L01BC52;Fluorouracilo, combinaciones con;FLUOROURACIL, COMBINATIONS WITH;L;L01;L01B;L01BC
L01BC53;TEGAFUR EN ASOCIACION;TEGAFUR IN ASSOCIATION;L;L01;L01B;L01BC
L01BC59;Trifluridina, combinaciones con;TRIFLURIDINE, COMBINATIONS WITH;L;L01;L01B;L01BC
L01BC91;AZACITIDINA;AZACITIDINE;L;L01;L01B;L01BC
L01C;ALCALOIDES VEGETALES Y PROD. NATURALES (ANTINEOPL);PLANT ALKALOIDS AND NATURAL PRODUCTS (ANTINEOPL);L;L01;L01C;
L01CA;ALCALOIDE DE LA VINCA Y ANALOGOS (ANTINEOPLASICOS);Vinca alkaloid and analogues (antineoplastic agents);L;L01;L01C;L01CA
L01CA01;VINBLASTINA;Vinblastine;L;L01;L01C;L01CA
L01CA02;VINCRISTINA;VINCRISTINE;L;L01;L01C;L01CA
L01CA03;VINDESINA;VINDESINE;L;L01;L01C;L01CA
L01CA04;VINORELBINA;VINORELBINE;L;L01;L01C;L01CA
L01CA05;VINFLUNINA;Vinflunine;L;L01;L01C;L01CA
L01CB;DERIVADOS DE PODOFILOTOXINA (ANTINEOPLASICOS);PODOPHYLLOTOXIN DERIVATIVES (ANTINEOPLASTICS);L;L01;L01C;L01CB
L01CB01;ETOPOSIDO;ETOPOSIDE;L;L01;L01C;L01CB
L01CB02;TENIPOSIDO;TENIPOSIDE;L;L01;L01C;L01CB
L01CBNE;DERIVADOS DE PODOFILOTOXINA (ANTINEOPLASICOS) NE;PODOPHYLOTOXIN DERIVATIVES (ANTINEOPLASTICS) NE;L;L01;L01C;L01CB
L01CD;TAXANOS (ANTINEOPLASICOS);TAXANES (ANTINEOPLASTICS);L;L01;L01C;L01CD
L01CD01;PACLITAXEL;PACLITAXEL;L;L01;L01C;L01CD
L01CD02;DOCETAXEL;DOCETAXEL;L;L01;L01C;L01CD
L01CD04;CABAZITAXEL;CABAZITAXEL;L;L01;L01C;L01CD
