ATC;Medicamento;Medicamento;Anatomico;Terapeutico;Farmacologico;Quimico
J01DB01;CEFALEXINA;CEFALEXINA;J;J01;J01D;J01DB
J01DB02;CEFALORIDINA;CEFALORIDINA;J;J01;J01D;J01DB
J01DB03;CEFALOTINA;CEFALOTINA;J;J01;J01D;J01DB
J01DB04;CEFAZOLINA;CEFAZOLINA;J;J01;J01D;J01DB
J01DB05;CEFADROXILO;CEFADROXILO;J;J01;J01D;J01DB
J01DB06;CEFAZEDONA;CEFAZEDONA;J;J01;J01D;J01DB
J01DB07;CEFATRIZINA;CEFATRIZINA;J;J01;J01D;J01DB
J01DB08;CEFAPIRINA;CEFAPIRINA;J;J01;J01D;J01DB
J01DB09;CEFRADINA;CEFRADINA;J;J01;J01D;J01DB
J01DB10;CEFACETRILO;CEFACETRILO;J;J01;J01D;J01DB
J01DB11;CEFROXADINA;CEFROXADINA;J;J01;J01D;J01DB
J01DB12;CEFTEZOL;CEFTEZOL;J;J01;J01D;J01DB
J01DC;CEFALOSPORINAS DE SEGUNDA GENERACION;CEFALOSPORINAS DE SEGUNDA GENERACION;J;J01;J01D;J01DC
J01DC01;CEFOXITINA;CEFOXITINA;J;J01;J01D;J01DC
J01DC02;CEFUROXIMA;CEFUROXIMA;J;J01;J01D;J01DC
J01DC03;CEFAMANDOL;CEFAMANDOL;J;J01;J01D;J01DC
J01DC04;CEFACLOR;CEFACLOR;J;J01;J01D;J01DC
J01DC05;CEFOTETAN;CEFOTETAN;J;J01;J01D;J01DC
J01DC06;CEFONICIDA;CEFONICIDA;J;J01;J01D;J01DC
J01DC07;CEFOTIAM;CEFOTIAM;J;J01;J01D;J01DC
J01DC08;LORACARBEF;LORACARBEF;J;J01;J01D;J01DC
J01DC09;CEFMETAZOL;CEFMETAZOL;J;J01;J01D;J01DC
J01DC10;CEFPROZILO;CEFPROZILO;J;J01;J01D;J01DC
J01DC11;CEFORANIDA;CEFORANIDA;J;J01;J01D;J01DC
J01DC12;CEFMINOX;CEFMINOX;J;J01;J01D;J01DC
J01DC13;CEFBUPERAZONA;CEFBUPERAZONA;J;J01;J01D;J01DC
J01DC14;FLOMOXEF;FLOMOXEF;J;J01;J01D;J01DC
J01DC91;CEFMINOX;CEFMINOX;J;J01;J01D;J01DC
J01DCNE;CEFALOSPORINAS DE SEGUNDA GENERACION NE;CEFALOSPORINAS DE SEGUNDA GENERACION NE;J;J01;J01D;J01DC
J01DD;CEFALOSPORINAS DE TERCERA GENERACION;CEFALOSPORINAS DE TERCERA GENERACION;J;J01;J01D;J01DD
J01DD01;CEFOTAXIMA;CEFOTAXIMA;J;J01;J01D;J01DD
J01DD02;CEFTAZIDIMA;CEFTAZIDIMA;J;J01;J01D;J01DD
J01DD03;CEFSULODINA;CEFSULODINA;J;J01;J01D;J01DD
J01DD04;CEFTRIAXONA;CEFTRIAXONA;J;J01;J01D;J01DD
J01DD05;CEFMENOXIMA;CEFMENOXIMA;J;J01;J01D;J01DD
J01DD06;LATAMOXEF;LATAMOXEF;J;J01;J01D;J01DD
J01DD07;CEFTIZOXIMA;CEFTIZOXIMA;J;J01;J01D;J01DD
J01DD08;CEFIXIMA;CEFIXIMA;J;J01;J01D;J01DD
J01DD09;CEFODIZIMA;CEFODIZIMA;J;J01;J01D;J01DD
J01DD10;CEFETAMET;CEFETAMET;J;J01;J01D;J01DD
J01DD11;CEFPIRAMIDA;CEFPIRAMIDA;J;J01;J01D;J01DD
J01DD12;CEFOPERAZONA;CEFOPERAZONA;J;J01;J01D;J01DD
J01DD13;CEFPODOXIMA;CEFPODOXIMA;J;J01;J01D;J01DD
J01DD14;CEFTIBUTENO;CEFTIBUTENO;J;J01;J01D;J01DD
J01DD15;CEFDINIR;CEFDINIR;J;J01;J01D;J01DD
J01DD16;CEFDITOREN;CEFDITOREN;J;J01;J01D;J01DD
J01DD17;CEFCAPENO;CEFCAPENO;J;J01;J01D;J01DD
J01DD52;Ceftazidima, combinaciones;Ceftazidima, combinaciones;J;J01;J01D;J01DD
J01DD54;CEFTRIAXONA EN ASOCIACION;CEFTRIAXONA EN ASOCIACION;J;J01;J01D;J01DD
J01DD62;CEFOPERAZONA EN ASOCIACION;CEFOPERAZONA EN ASOCIACION;J;J01;J01D;J01DD
J01DE;CEFALOSPORINAS DE CUARTA GENERACION;CEFALOSPORINAS DE CUARTA GENERACION;J;J01;J01D;J01DE
J01DE01;CEFEPIMA;CEFEPIMA;J;J01;J01D;J01DE
J01DE02;CEFPIROMA;CEFPIROMA;J;J01;J01D;J01DE
J01DE03;CEFOZOPRAN;CEFOZOPRAN;J;J01;J01D;J01DE
J01DF;MONOBACTAMAS (ANTIBACTERIANOS BETALACTAMICOS);MONOBACTAMAS (ANTIBACTERIANOS BETALACTAMICOS);J;J01;J01D;J01DF
J01DF01;AZTREONAM;AZTREONAM;J;J01;J01D;J01DF
J01DF02;CARUMOMAM;CARUMOMAM;J;J01;J01D;J01DF
J01DH;CARBAPENEMS (ANTIBACTERIANOS BETALACTAMICOS);CARBAPENEMS (ANTIBACTERIANOS BETALACTAMICOS);J;J01;J01D;J01DH
J01DH02;MEROPENEM;MEROPENEM;J;J01;J01D;J01DH
J01DH03;ERTAPENEM;ERTAPENEM;J;J01;J01D;J01DH
J01DH04;DORIPENEM;DORIPENEM;J;J01;J01D;J01DH
J01DH05;BIAPENEM;BIAPENEM;J;J01;J01D;J01DH
J01DH51;IMIPENEM ASOC. A INHIBIDOR ENZIMA;IMIPENEM ASOC. A INHIBIDOR ENZIMA;J;J01;J01D;J01DH
J01DH55;PANIPENEM ASOC. A BETAMIPRON;PANIPENEM ASOC. A BETAMIPRON;J;J01;J01D;J01DH
J01DI;OTRAS CEFALOSPORINAS;OTRAS CEFALOSPORINAS;J;J01;J01D;J01DI
J01DI01;CEFTOBIPROL MEDOCARIL;CEFTOBIPROL MEDOCARIL;J;J01;J01D;J01DI
J01DI02;CEFTAROLINA FOSAMIL;CEFTAROLINA FOSAMIL;J;J01;J01D;J01DI
J01DI54;Ceftolozano y enzima inhibidor;Ceftolozano y enzima inhibidor;J;J01;J01D;J01DI
J01E;SULFONAMIDAS Y TRIMETOPRIM (ANTIINFECC.SISTEMICOS);SULFONAMIDAS Y TRIMETOPRIM (ANTIINFECC.SISTEMICOS);J;J01;J01E;
J01EA;TRIMETOPRIM Y DERIVADOS (ANTIINFECCIOSOS SISTEMICOS);TRIMETOPRIM Y DERIVADOS (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01E;J01EA
J01EA01;TRIMETOPRIM;TRIMETOPRIM;J;J01;J01E;J01EA
J01EA02;BRODIMOPRIMA;BRODIMOPRIMA;J;J01;J01E;J01EA
J01EA03;ICLAPRIM;ICLAPRIM;J;J01;J01E;J01EA
J01EB;SULFONAMIDAS DE ACCION CORTA (ANTIINFECCIOSOS SISTEMICOS);SULFONAMIDAS DE ACCION CORTA (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01E;J01EB
J01EB02;SULFAMETIZOL;SULFAMETIZOL;J;J01;J01E;J01EB
J01EB04;SULFAPIRIDINA;SULFAPIRIDINA;J;J01;J01E;J01EB
J01EB06;SULFANILAMIDA;SULFANILAMIDA;J;J01;J01E;J01EB
J01EB20;SULFAMETIZOL+FENAZOPIRIDINA;SULFAMETIZOL+FENAZOPIRIDINA;J;J01;J01E;J01EB
J01EC;SULFONAMIDAS DE ACCION INTERMEDIA (ANTIINFECCIOSOS SISTEMIC);SULFONAMIDAS DE ACCION INTERMEDIA (ANTIINFECCIOSOS SISTEMIC);J;J01;J01E;J01EC
J01EC01;SULFAMETOXAZOL;SULFAMETOXAZOL;J;J01;J01E;J01EC
J01EC02;SULFADIAZINA;SULFADIAZINA;J;J01;J01E;J01EC
J01ED;SULFONAMIDAS DE ACCION LARGA (ANTIINFECCIOSOS SISTEMICOS);SULFONAMIDAS DE ACCION LARGA (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01E;J01ED
J01ED02;SULFALENO;SULFALENO;J;J01;J01E;J01ED
J01ED05;SULFAMETOXIPIRIDAZINA;SULFAMETOXIPIRIDAZINA;J;J01;J01E;J01ED
J01ED09;SULFAMAZONA;SULFAMAZONA;J;J01;J01E;J01ED
J01EE;ASOCIACIONES DE SULFONAMIDAS Y TRIMETOPRIM (ANTIINFEC.SISTEM;ASOCIACIONES DE SULFONAMIDAS Y TRIMETOPRIM (ANTIINFEC.SISTEM;J;J01;J01E;J01EE
J01EE01;COTRIMOXAZOL (SULFAMETOXAZOL+TRIMETOPRIM);COTRIMOXAZOL (SULFAMETOXAZOL+TRIMETOPRIM);J;J01;J01E;J01EE
J01EE02;COTRIMAZINE (SULFADIAZINA+TRIMETOPRIM);COTRIMAZINE (SULFADIAZINA+TRIMETOPRIM);J;J01;J01E;J01EE
J01EE04;COTRIFAMOL (SULFAMOXOL+TRIMETOPRIM);COTRIFAMOL (SULFAMOXOL+TRIMETOPRIM);J;J01;J01E;J01EE
J01EE07;SULFAMERAZINA+TRIMETOPRIM;SULFAMERAZINA+TRIMETOPRIM;J;J01;J01E;J01EE
J01F;MACROLIDOS Y LINCOSAMIDAS (ANTIINFECC. SISTEMICOS);MACROLIDOS Y LINCOSAMIDAS (ANTIINFECC. SISTEMICOS);J;J01;J01F;
J01FA;MACROLIDOS (ANTIINFECCIOSOS SISTEMICOS);MACROLIDOS (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01F;J01FA
J01FA01;ERITROMICINA;ERITROMICINA;J;J01;J01F;J01FA
J01FA02;ESPIRAMICINA;ESPIRAMICINA;J;J01;J01F;J01FA
J01FA03;MIDECAMICINA;MIDECAMICINA;J;J01;J01F;J01FA
J01FA06;ROXITROMICINA;ROXITROMICINA;J;J01;J01F;J01FA
J01FA07;JOSAMICINA;JOSAMICINA;J;J01;J01F;J01FA
J01FA09;CLARITROMICINA;CLARITROMICINA;J;J01;J01F;J01FA
J01FA10;AZITROMICINA;AZITROMICINA;J;J01;J01F;J01FA
J01FA11;MIOCAMICINA;MIOCAMICINA;J;J01;J01F;J01FA
J01FA12;ROKITAMICINA;ROKITAMICINA;J;J01;J01F;J01FA
J01FA13;DIRITROMICINA;DIRITROMICINA;J;J01;J01F;J01FA
J01FA14;FLURITROMICINA;FLURITROMICINA;J;J01;J01F;J01FA
J01FA15;TELITROMICINA;TELITROMICINA;J;J01;J01F;J01FA
J01FF;LINCOSAMIDAS (ANTIINFECCIOSOS SISTEMICOS);LINCOSAMIDAS (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01F;J01FF
J01FF01;CLINDAMICINA;CLINDAMICINA;J;J01;J01F;J01FF
J01FF02;LINCOMICINA;LINCOMICINA;J;J01;J01F;J01FF
J01FG;ESTREPTOGRAMINAS;ESTREPTOGRAMINAS;J;J01;J01F;J01FG
J01FG01;PRISTINAMICINA;PRISTINAMICINA;J;J01;J01F;J01FG
J01FG02;QUINUPRISTINA+DALFOPRISTINA;QUINUPRISTINA+DALFOPRISTINA;J;J01;J01F;J01FG
J01G;ANTIBACTERIANOS AMINOGLUCOSIDOS (ANTIINFEC.SISTEM);ANTIBACTERIANOS AMINOGLUCOSIDOS (ANTIINFEC.SISTEM);J;J01;J01G;
J01GA;ESTREPTOMICINAS (ANTIIFECCIOSOS SISTEMICOS);ESTREPTOMICINAS (ANTIIFECCIOSOS SISTEMICOS);J;J01;J01G;J01GA
J01GA01;ESTREPTOMICINA;ESTREPTOMICINA;J;J01;J01G;J01GA
J01GA91;DIHIDROESTREPTOMICINA;DIHIDROESTREPTOMICINA;J;J01;J01G;J01GA
J01GB;OTROS ANTIBACTERIANOS AMINOGLUCOSIDOS (ANTINFECC.SISTEMICOS);OTROS ANTIBACTERIANOS AMINOGLUCOSIDOS (ANTINFECC.SISTEMICOS);J;J01;J01G;J01GB
J01GB01;TOBRAMICINA;TOBRAMICINA;J;J01;J01G;J01GB
J01GB03;GENTAMICINA;GENTAMICINA;J;J01;J01G;J01GB
J01GB04;KANAMICINA;KANAMICINA;J;J01;J01G;J01GB
J01GB05;NEOMICINA;NEOMICINA;J;J01;J01G;J01GB
J01GB06;AMIKACINA;AMIKACINA;J;J01;J01G;J01GB
J01GB07;NETILMICINA;NETILMICINA;J;J01;J01G;J01GB
J01GB08;SISOMICINA;SISOMICINA;J;J01;J01G;J01GB
J01GB09;DIBEKACINA;DIBEKACINA;J;J01;J01G;J01GB
J01GB10;RIBOSTAMICINA;RIBOSTAMICINA;J;J01;J01G;J01GB
J01GB11;ISEPAMICINA;ISEPAMICINA;J;J01;J01G;J01GB
J01GB12;ARBEKACINA;ARBEKACINA;J;J01;J01G;J01GB
J01GB13;BEKANAMICINA;BEKANAMICINA;J;J01;J01G;J01GB
J01M;ANTIBACTERIANOS DERIVADOS DE LA QUINOLONA (SISTEM);ANTIBACTERIANOS DERIVADOS DE LA QUINOLONA (SISTEM);J;J01;J01M;
J01MA;FLUORQUINOLONAS (ANTIINFECCIOSOS SISTEMICOS);FLUORQUINOLONAS (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01M;J01MA
J01MA01;OFLOXACINA;OFLOXACINA;J;J01;J01M;J01MA
J01MA02;CIPROFLOXACINA;CIPROFLOXACINA;J;J01;J01M;J01MA
J01MA03;PEFLOXACINA;PEFLOXACINA;J;J01;J01M;J01MA
J01MA04;ENOXACINA;ENOXACINA;J;J01;J01M;J01MA
J01MA05;TEMAFLOXACINA;TEMAFLOXACINA;J;J01;J01M;J01MA
J01MA06;NORFLOXACINA;NORFLOXACINA;J;J01;J01M;J01MA
J01MA07;LOMEFLOXACINO;LOMEFLOXACINO;J;J01;J01M;J01MA
J01MA08;FEROXACINO;FEROXACINO;J;J01;J01M;J01MA
J01MA09;SPARFLOXACINO;SPARFLOXACINO;J;J01;J01M;J01MA
J01MA10;RUFLOXACINO;RUFLOXACINO;J;J01;J01M;J01MA
J01MA11;GREPAFLOXACINO;GREPAFLOXACINO;J;J01;J01M;J01MA
J01MA12;LEVOFLOXACINO;LEVOFLOXACINO;J;J01;J01M;J01MA
J01MA13;TROVAFLOXACINO;TROVAFLOXACINO;J;J01;J01M;J01MA
J01MA14;MOXIFLOXACINO;MOXIFLOXACINO;J;J01;J01M;J01MA
J01MA15;GEMIFLOXACINO;GEMIFLOXACINO;J;J01;J01M;J01MA
J01MA16;GATIFLOXACINO;GATIFLOXACINO;J;J01;J01M;J01MA
J01MA17;PRULIFLOXACINO;PRULIFLOXACINO;J;J01;J01M;J01MA
J01MA18;PAZUFLOXACINO;PAZUFLOXACINO;J;J01;J01M;J01MA
J01MA19;GARENOXACINO;GARENOXACINO;J;J01;J01M;J01MA
J01MA21;SITAFLOXACINO;SITAFLOXACINO;J;J01;J01M;J01MA
J01MANE;FLUORQUINOLONAS (ANTIINFECCIOSOS SISTEMICOS) NE;FLUORQUINOLONAS (ANTIINFECCIOSOS SISTEMICOS) NE;J;J01;J01M;J01MA
J01MB;OTRAS QUINOLONAS;OTRAS QUINOLONAS;J;J01;J01M;J01MB
J01MB01;ROSOXACINA;ROSOXACINA;J;J01;J01M;J01MB
J01MB02;NALIDIXICO, ACIDO;NALIDIXICO, ACIDO;J;J01;J01M;J01MB
J01MB04;PIPEMIDICO, ACIDO;PIPEMIDICO, ACIDO;J;J01;J01M;J01MB
J01MB05;OXOLINICO, ACIDO;OXOLINICO, ACIDO;J;J01;J01M;J01MB
J01MB07;FLUMEQUINA;FLUMEQUINA;J;J01;J01M;J01MB
J01R;ASOCIACIONES DE ANTIBACTERIANOS (ANTIINFEC.SISTEM);ASOCIACIONES DE ANTIBACTERIANOS (ANTIINFEC.SISTEM);J;J01;J01R;
J01RA;ASOCIACIONES DE ANTIBACTERIANOS (ANTIINFEC.SISTEMICOS);ASOCIACIONES DE ANTIBACTERIANOS (ANTIINFEC.SISTEMICOS);J;J01;J01R;J01RA
J01RA01;PENICILINAS EN ASOCIACION CON OTROS ANTIBACTERIANOS;PENICILINAS EN ASOCIACION CON OTROS ANTIBACTERIANOS;J;J01;J01R;J01RA
J01RA04;ESPIRAMICINA ASOC. OTROS ANTIBACTERIANOS;ESPIRAMICINA ASOC. OTROS ANTIBACTERIANOS;J;J01;J01R;J01RA
J01RA91;ERITROMICINA+FOSFOMICINA;ERITROMICINA+FOSFOMICINA;J;J01;J01R;J01RA
J01X;OTROS ANTIBACTERIANOS (ANTIINFECCIOSOS SISTEMICOS);OTROS ANTIBACTERIANOS (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01X;
J01XA;ANTIBACTERIANOS GLICOPEPTIDOS (ANTIINFECCIOSOS SISTEMICOS);ANTIBACTERIANOS GLICOPEPTIDOS (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01X;J01XA
J01XA01;VANCOMICINA;VANCOMICINA;J;J01;J01X;J01XA
J01XA02;TEICOPLANINA;TEICOPLANINA;J;J01;J01X;J01XA
J01XA03;TELAVANCINA;TELAVANCINA;J;J01;J01X;J01XA
J01XA04;DALBAVANCINA;DALBAVANCINA;J;J01;J01X;J01XA
J01XA05;ORITAVANCINA;ORITAVANCINA;J;J01;J01X;J01XA
J01XB;POLIMIXINAS (ANTIINFECCIOSOS SISTEMICOS);POLIMIXINAS (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01X;J01XB
J01XB01;COLISTINA;COLISTINA;J;J01;J01X;J01XB
J01XB02;POLIMIXINA B;POLIMIXINA B;J;J01;J01X;J01XB
J01XBNE;POLIMIXINAS (ANTIINFECCIOSOS SISTEMICOS) NE;POLIMIXINAS (ANTIINFECCIOSOS SISTEMICOS) NE;J;J01;J01X;J01XB
J01XC;ANTIBACTERIANOS ESTEROIDICOS (ANTIINFECCIOSOS SISTEMICOS);ANTIBACTERIANOS ESTEROIDICOS (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01X;J01XC
J01XC01;FUSIDICO ACIDO;FUSIDICO ACIDO;J;J01;J01X;J01XC
J01XD;DERIVADOS IMIDAZOL (ANTIINFECCIOSOS SISTEMICOS);DERIVADOS IMIDAZOL (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01X;J01XD
J01XD01;METRONIDAZOL;METRONIDAZOL;J;J01;J01X;J01XD
J01XD02;TINIDAZOL;TINIDAZOL;J;J01;J01X;J01XD
J01XD03;ORNIDAZOL;ORNIDAZOL;J;J01;J01X;J01XD
J01XE;DERIVADOS NITROFURANO (ANTIINFECCIOSOS SISTEMICOS);DERIVADOS NITROFURANO (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01X;J01XE
J01XE01;NITROFURANTOINA;NITROFURANTOINA;J;J01;J01X;J01XE
J01XX;OTROS ANTIBACTERIANOS (ANTIINFECCIOSOS SISTEMICOS);OTROS ANTIBACTERIANOS (ANTIINFECCIOSOS SISTEMICOS);J;J01;J01X;J01XX
J01XX01;FOSFOMICINA;FOSFOMICINA;J;J01;J01X;J01XX
J01XX03;CLOFOCTOL;CLOFOCTOL;J;J01;J01X;J01XX
J01XX04;ESPECTINOMICINA;ESPECTINOMICINA;J;J01;J01X;J01XX
J01XX07;NITROXOLINA;NITROXOLINA;J;J01;J01X;J01XX
J01XX08;LINEZOLID;LINEZOLID;J;J01;J01X;J01XX
J01XX09;DAPTOMICINA;DAPTOMICINA;J;J01;J01X;J01XX
J01XX10;BACITRACINA;BACITRACINA;J;J01;J01X;J01XX
J01XX11;Tedizolid;Tedizolid;J;J01;J01X;J01XX
J01XXNE;OTROS ANTIBACTERIANOS (ANTIINFECCIOSOS SISTEMICOS) NE;OTROS ANTIBACTERIANOS (ANTIINFECCIOSOS SISTEMICOS) NE;J;J01;J01X;J01XX
J02;ANTIMICOTICOS DE USO SISTEMICO;ANTIMICOTICOS DE USO SISTEMICO;J;J02;;
J02A;ANTIMICOTICOS DE USO SISTEMICO;ANTIMICOTICOS DE USO SISTEMICO;J;J02;J02A;
J02AA;ANTIBIOTICOS (ANTIMICOTICOS SISTEMICOS);ANTIBIOTICOS (ANTIMICOTICOS SISTEMICOS);J;J02;J02A;J02AA
J02AA01;ANFOTERICINA B;ANFOTERICINA B;J;J02;J02A;J02AA
J02AA02;HACHIMICINA;HACHIMICINA;J;J02;J02A;J02AA
J02AB;DERIVADOS IMIDAZOLICOS (ANTIMICOTICOS SISTEMICOS);DERIVADOS IMIDAZOLICOS (ANTIMICOTICOS SISTEMICOS);J;J02;J02A;J02AB
J02AB01;MICONAZOL;MICONAZOL;J;J02;J02A;J02AB
J02AB02;KETOCONAZOL;KETOCONAZOL;J;J02;J02A;J02AB
J02AB14;CASPOFUNGINA;CASPOFUNGINA;J;J02;J02A;J02AB
J02AC;DERIVADOS TRIAZOLICOS (ANTIMICOTICOS SISTEMICOS);DERIVADOS TRIAZOLICOS (ANTIMICOTICOS SISTEMICOS);J;J02;J02A;J02AC
J02AC01;FLUCONAZOL;FLUCONAZOL;J;J02;J02A;J02AC
J02AC02;ITRACONAZOL;ITRACONAZOL;J;J02;J02A;J02AC
J02AC03;VORICONAZOL;VORICONAZOL;J;J02;J02A;J02AC
J02AC04;POSACONAZOL;POSACONAZOL;J;J02;J02A;J02AC
J02AC05;Isavuconazol;Isavuconazol;J;J02;J02A;J02AC
J02AX;OTROS ANTIMICOTICOS DE USO SISTEMICO;OTROS ANTIMICOTICOS DE USO SISTEMICO;J;J02;J02A;J02AX
J02AX01;FLUCITOSINA;FLUCITOSINA;J;J02;J02A;J02AX
J02AX04;CASPOFUNGINA;CASPOFUNGINA;J;J02;J02A;J02AX
J02AX05;MICAFUNGINA;MICAFUNGINA;J;J02;J02A;J02AX
J02AX06;ANIDULAFUNGINA;ANIDULAFUNGINA;J;J02;J02A;J02AX
J04;ANTIMICOBACTERIANOS;ANTIMICOBACTERIANOS;J;J04;;
J04A;MEDICAMENTOS CONTRA LA TUBERCULOSIS;MEDICAMENTOS CONTRA LA TUBERCULOSIS;J;J04;J04A;
J04AA;DERIVADOS DEL ACIDO AMINOSALICILICO (TUBERCULOST.);DERIVADOS DEL ACIDO AMINOSALICILICO (TUBERCULOST.);J;J04;J04A;J04AA
J04AA01;P-AMINOSALICILICO ACIDO;P-AMINOSALICILICO ACIDO;J;J04;J04A;J04AA
J04AB;ANTIBIOTICOS TUBERCULOSTATICOS;ANTIBIOTICOS TUBERCULOSTATICOS;J;J04;J04A;J04AB
J04AB01;CICLOSERINA;CICLOSERINA;J;J04;J04A;J04AB
J04AB02;RIFAMPICINA;RIFAMPICINA;J;J04;J04A;J04AB
J04AB03;RIFAMICINA;RIFAMICINA;J;J04;J04A;J04AB
J04AB04;RIFABUTINA;RIFABUTINA;J;J04;J04A;J04AB
J04AB30;CAPREOMICINA;CAPREOMICINA;J;J04;J04A;J04AB
J04AC;HIDRAZIDAS (TUBERCULOSTATICOS);HIDRAZIDAS (TUBERCULOSTATICOS);J;J04;J04A;J04AC
J04AC01;ISONIAZIDA;ISONIAZIDA;J;J04;J04A;J04AC
J04AC51;ISONIAZIDA EN ASOCIACION;ISONIAZIDA EN ASOCIACION;J;J04;J04A;J04AC
J04AC92;ISONIAZIDA ASOCIADA A CORTICOIDE;ISONIAZIDA ASOCIADA A CORTICOIDE;J;J04;J04A;J04AC
J04AC93;PASINIAZIDA;PASINIAZIDA;J;J04;J04A;J04AC
J04AC94;PASINIAZIDA+PIRIDOXINA;PASINIAZIDA+PIRIDOXINA;J;J04;J04A;J04AC
J04AC95;PASINIAZIDA ASOC. A CORTICOIDE;PASINIAZIDA ASOC. A CORTICOIDE;J;J04;J04A;J04AC
J04AD;DERIVADOS DE LA TIOCARBAMIDA (TUBERCULOSTATICOS);DERIVADOS DE LA TIOCARBAMIDA (TUBERCULOSTATICOS);J;J04;J04A;J04AD
J04AD01;PROTIONAMIDA;PROTIONAMIDA;J;J04;J04A;J04AD
J04AD02;TIOCARLIDA;TIOCARLIDA;J;J04;J04A;J04AD
J04AD03;ETIONAMIDA;ETIONAMIDA;J;J04;J04A;J04AD
J04AK;OTROS MEDICAMENTOS CONTRA LA TUBERCULOSIS;OTROS MEDICAMENTOS CONTRA LA TUBERCULOSIS;J;J04;J04A;J04AK
J04AK01;PIRAZINAMIDA;PIRAZINAMIDA;J;J04;J04A;J04AK
J04AK02;ETAMBUTOL;ETAMBUTOL;J;J04;J04A;J04AK
J04AK03;TERIZIDONA;TERIZIDONA;J;J04;J04A;J04AK
J04AK04;MORINAMIDA;MORINAMIDA;J;J04;J04A;J04AK
J04AK05;Bedaquilina;Bedaquilina;J;J04;J04A;J04AK
J04AK06; Delamanid; Delamanid;J;J04;J04A;J04AK
J04AKNE;OTROS MEDICAMENTOS CONTRA LA TUBERCULOSIS NE;OTROS MEDICAMENTOS CONTRA LA TUBERCULOSIS NE;J;J04;J04A;J04AK
J04AM;ASOCIACIONES DE MEDICAMENTOS CONTRA TUBERCULOSIS;ASOCIACIONES DE MEDICAMENTOS CONTRA TUBERCULOSIS;J;J04;J04A;J04AM
J04AM01;ESTREPTOMICINA+ISONIAZIDA;ESTREPTOMICINA+ISONIAZIDA;J;J04;J04A;J04AM
J04AM02;RIFAMPICINA+ISONIAZIDA;RIFAMPICINA+ISONIAZIDA;J;J04;J04A;J04AM
J04AM03;ETAMBUTOL+ISONIAZIDA;ETAMBUTOL+ISONIAZIDA;J;J04;J04A;J04AM
J04AM04;TIOACETAZONA+ISONIAZIDA;TIOACETAZONA+ISONIAZIDA;J;J04;J04A;J04AM
J04AM05;RIFAMPICINA+ISONIAZIDA+PIRAZINAMIDA;RIFAMPICINA+ISONIAZIDA+PIRAZINAMIDA;J;J04;J04A;J04AM
J04AM06;RIFAMPICINA+PIRAZINAM+ETAMBUTOL+ISONIAZIDA;RIFAMPICINA+PIRAZINAM+ETAMBUTOL+ISONIAZIDA;J;J04;J04A;J04AM
J04B;MEDICAMENTOS CONTRA LA LEPRA;MEDICAMENTOS CONTRA LA LEPRA;J;J04;J04B;
J04BA;MEDICAMENTOS CONTRA LA LEPRA;MEDICAMENTOS CONTRA LA LEPRA;J;J04;J04B;J04BA
J04BA01;CLOFAZIMINA;CLOFAZIMINA;J;J04;J04B;J04BA
J04BA02;DAPSONA;DAPSONA;J;J04;J04B;J04BA
J04BA91;VADRINA;VADRINA;J;J04;J04B;J04BA
J04BA92;CLOFAZIMINA+DAPSONA+RIFAMPICINA;CLOFAZIMINA+DAPSONA+RIFAMPICINA;J;J04;J04B;J04BA
J05;ANTIVIRALES DE USO SISTEMICO;ANTIVIRALES DE USO SISTEMICO;J;J05;;
J05A;AGENTES DE ACCION DIRECTA CONTRA EL VIRUS (SISTEM);AGENTES DE ACCION DIRECTA CONTRA EL VIRUS (SISTEM);J;J05;J05A;
J05AA;TIOSEMICARBAZONAS (ANTIVIRALES SISTEMICOS);TIOSEMICARBAZONAS (ANTIVIRALES SISTEMICOS);J;J05;J05A;J05AA
J05AA01;METISAZONA;METISAZONA;J;J05;J05A;J05AA
J05AB;NUCLEOSIDOS/NUCLEOTIDOS EXCLUID.INHIBID.TRANSCRIPASA INVERSA;NUCLEOSIDOS/NUCLEOTIDOS EXCLUID.INHIBID.TRANSCRIPASA INVERSA;J;J05;J05A;J05AB
J05AB01;ACICLOVIR;ACICLOVIR;J;J05;J05A;J05AB
J05AB02;IDOXURIDINA;IDOXURIDINA;J;J05;J05A;J05AB
J05AB03;VIDARABINA;VIDARABINA;J;J05;J05A;J05AB
J05AB04;RIBAVIRINA;RIBAVIRINA;J;J05;J05A;J05AB
J05AB06;GANCICLOVIR;GANCICLOVIR;J;J05;J05A;J05AB
J05AB09;FAMCICLOVIR;FAMCICLOVIR;J;J05;J05A;J05AB
J05AB11;VALACICLOVIR;VALACICLOVIR;J;J05;J05A;J05AB
J05AB12;CIDOFOVIR;CIDOFOVIR;J;J05;J05A;J05AB
